LinkID,SourceID,DestinationID,Peer ID,Cost,Bandwidth,Delay,SRLGNum,SRLGs
0,0,276,0,97,1200,91,0,
1,276,0,0,2,1200,32,0,
2,0,387,0,34,1200,76,0,
3,387,0,0,26,1200,20,0,
4,0,391,0,33,1200,6,0,
5,391,0,0,42,1200,3,0,
6,0,553,0,94,1200,3,0,
7,553,0,0,65,1200,23,0,
8,0,1716,0,8,1200,73,0,
9,1716,0,0,65,1200,33,0,
10,0,3967,0,10,1200,36,0,
11,3967,0,0,32,1200,64,0,
12,1,270,0,51,1200,12,0,
13,270,1,0,57,1200,62,0,
14,1,448,0,40,1200,26,0,
15,448,1,0,66,1200,37,0,
16,1,1063,0,31,1200,48,0,
17,1063,1,0,63,1200,74,0,
18,1,1922,0,68,1200,44,0,
19,1922,1,0,56,1200,11,0,
20,1,1923,0,12,1200,83,0,
21,1923,1,0,31,1200,69,0,
22,1,1929,0,23,1200,24,0,
23,1929,1,0,33,1200,99,0,
24,1,2218,0,8,1200,92,0,
25,2218,1,0,62,1200,94,0,
26,2,2254,0,80,1200,19,0,
27,2254,2,0,15,1200,70,0,
28,2,2686,0,41,1200,56,0,
29,2686,2,0,52,1200,49,0,
30,2,3603,0,26,1200,83,0,
31,3603,2,0,78,1200,57,0,
32,2,3660,0,12,1200,95,0,
33,3660,2,0,27,1200,11,0,
34,3,189,0,95,1200,63,0,
35,189,3,0,68,1200,81,0,
36,3,352,0,30,1200,17,0,
37,352,3,0,4,1200,15,0,
38,3,356,0,54,1200,70,0,
39,356,3,0,95,1200,62,0,
40,3,391,0,34,1200,32,0,
41,391,3,0,68,1200,40,0,
42,3,656,0,84,1200,11,0,
43,656,3,0,56,1200,13,0,
44,3,1749,0,18,1200,81,0,
45,1749,3,0,47,1200,28,0,
46,3,1820,0,72,1200,82,0,
47,1820,3,0,60,1200,28,0,
48,3,2083,0,59,1200,48,0,
49,2083,3,0,2,1200,55,0,
50,3,2237,0,73,1200,16,0,
51,2237,3,0,16,1200,36,0,
52,3,2353,0,86,1200,40,0,
53,2353,3,0,58,1200,20,0,
54,3,2812,0,12,1200,91,0,
55,2812,3,0,5,1200,97,0,
56,3,3147,0,39,1200,2,0,
57,3147,3,0,15,1200,77,0,
58,4,76,0,72,1200,2,0,
59,76,4,0,88,1200,69,0,
60,4,916,0,19,1200,70,0,
61,916,4,0,82,1200,50,0,
62,4,2191,0,85,1200,96,0,
63,2191,4,0,49,1200,48,0,
64,4,2551,0,39,1200,24,0,
65,2551,4,0,78,1200,81,0,
66,4,3797,0,15,1200,9,0,
67,3797,4,0,55,1200,40,0,
68,4,3900,0,67,1200,40,0,
69,3900,4,0,56,1200,2,0,
70,5,452,0,45,1200,73,0,
71,452,5,0,75,1200,6,0,
72,5,515,0,57,1200,19,0,
73,515,5,0,67,1200,97,0,
74,5,703,0,94,1200,19,0,
75,703,5,0,6,1200,33,0,
76,5,869,0,70,1200,61,0,
77,869,5,0,31,1200,30,0,
78,5,991,0,22,1200,62,0,
79,991,5,0,85,1200,13,0,
80,5,1073,0,38,1200,18,0,
81,1073,5,0,58,1200,2,0,
82,5,2815,0,70,1200,3,0,
83,2815,5,0,29,1200,6,0,
84,6,708,0,56,1200,28,0,
85,708,6,0,11,1200,77,0,
86,6,942,0,48,1200,84,0,
87,942,6,0,86,1200,32,0,
88,6,1496,0,60,1200,60,0,
89,1496,6,0,51,1200,31,0,
90,6,2520,0,39,1200,61,0,
91,2520,6,0,6,1200,9,0,
92,6,2931,0,30,1200,67,0,
93,2931,6,0,89,1200,54,0,
94,6,3129,0,1,1200,95,0,
95,3129,6,0,86,1200,79,0,
96,6,3734,0,9,1200,68,0,
97,3734,6,0,45,1200,17,0,
98,7,627,0,8,1200,59,0,
99,627,7,0,34,1200,31,0,
100,7,1300,0,80,1200,93,0,
101,1300,7,0,83,1200,75,0,
102,7,1345,0,8,1200,61,0,
103,1345,7,0,12,1200,96,0,
104,7,2401,0,43,1200,40,0,
105,2401,7,0,56,1200,3,0,
106,7,2714,0,31,1200,50,0,
107,2714,7,0,42,1200,1,0,
108,7,3397,0,33,1200,8,0,
109,3397,7,0,19,1200,62,0,
110,7,3620,0,91,1200,64,0,
111,3620,7,0,88,1200,41,0,
112,8,34,0,92,1200,17,0,
113,34,8,0,55,1200,72,0,
114,8,224,0,4,1200,43,0,
115,224,8,0,12,1200,97,0,
116,8,742,0,87,1200,90,0,
117,742,8,0,84,1200,2,0,
118,8,1098,0,28,1200,47,0,
119,1098,8,0,58,1200,60,0,
120,8,2980,0,48,1200,49,0,
121,2980,8,0,1,1200,93,0,
122,8,3714,0,75,1200,15,0,
123,3714,8,0,44,1200,94,0,
124,8,3795,0,63,1200,50,0,
125,3795,8,0,95,1200,46,0,
126,8,3866,0,38,1200,76,0,
127,3866,8,0,9,1200,2,0,
128,9,272,0,6,1200,85,0,
129,272,9,0,70,1200,29,0,
130,9,516,0,52,1200,29,0,
131,516,9,0,67,1200,80,0,
132,9,884,0,96,1200,95,0,
133,884,9,0,99,1200,61,0,
134,9,996,0,16,1200,97,0,
135,996,9,0,2,1200,66,0,
136,9,1105,0,36,1200,44,0,
137,1105,9,0,71,1200,4,0,
138,9,1979,0,35,1200,39,0,
139,1979,9,0,30,1200,60,0,
140,9,2139,0,45,1200,49,0,
141,2139,9,0,46,1200,5,0,
142,9,2799,0,93,1200,66,0,
143,2799,9,0,65,1200,45,0,
144,9,2963,0,1,1200,60,0,
145,2963,9,0,57,1200,8,0,
146,10,1126,0,71,1200,50,0,
147,1126,10,0,67,1200,36,0,
148,10,1612,0,31,1200,70,0,
149,1612,10,0,25,1200,41,0,
150,10,1713,0,47,1200,10,0,
151,1713,10,0,56,1200,36,0,
152,10,1752,0,88,1200,68,0,
153,1752,10,0,1,1200,14,0,
154,11,92,0,95,1200,76,0,
155,92,11,0,37,1200,17,0,
156,11,532,0,75,1200,21,0,
157,532,11,0,67,1200,77,0,
158,11,1764,0,12,1200,97,0,
159,1764,11,0,20,1200,54,0,
160,11,3078,0,30,1200,13,0,
161,3078,11,0,74,1200,48,0,
162,11,3456,0,64,1200,45,0,
163,3456,11,0,79,1200,9,0,
164,11,3649,0,85,1200,55,0,
165,3649,11,0,64,1200,50,0,
166,12,169,0,18,1200,20,0,
167,169,12,0,32,1200,40,0,
168,12,449,0,19,1200,1,0,
169,449,12,0,94,1200,77,0,
170,12,703,0,33,1200,86,0,
171,703,12,0,62,1200,77,0,
172,12,2725,0,22,1200,64,0,
173,2725,12,0,29,1200,35,0,
174,12,2915,0,88,1200,65,0,
175,2915,12,0,4,1200,53,0,
176,12,3395,0,50,1200,97,0,
177,3395,12,0,76,1200,61,0,
178,12,3568,0,4,1200,5,0,
179,3568,12,0,5,1200,94,0,
180,13,382,0,83,1200,69,0,
181,382,13,0,39,1200,89,0,
182,13,607,0,57,1200,60,0,
183,607,13,0,31,1200,90,0,
184,13,2514,0,7,1200,19,0,
185,2514,13,0,12,1200,76,0,
186,13,2820,0,10,1200,57,0,
187,2820,13,0,29,1200,8,0,
188,13,2958,0,85,1200,74,0,
189,2958,13,0,13,1200,18,0,
190,13,3136,0,87,1200,11,0,
191,3136,13,0,70,1200,62,0,
192,13,3270,0,31,1200,30,0,
193,3270,13,0,9,1200,5,0,
194,14,866,0,51,1200,88,0,
195,866,14,0,88,1200,77,0,
196,14,932,0,16,1200,56,0,
197,932,14,0,59,1200,36,0,
198,14,1258,0,58,1200,27,0,
199,1258,14,0,11,1200,32,0,
200,14,1336,0,36,1200,14,0,
201,1336,14,0,1,1200,41,0,
202,14,1713,0,21,1200,66,0,
203,1713,14,0,44,1200,4,0,
204,14,2016,0,37,1200,11,0,
205,2016,14,0,6,1200,48,0,
206,14,2260,0,14,1200,37,0,
207,2260,14,0,93,1200,13,0,
208,14,2465,0,1,1200,73,0,
209,2465,14,0,8,1200,42,0,
210,14,2968,0,44,1200,27,0,
211,2968,14,0,83,1200,66,0,
212,14,2994,0,87,1200,47,0,
213,2994,14,0,75,1200,91,0,
214,15,477,0,27,1200,76,0,
215,477,15,0,36,1200,12,0,
216,15,2092,0,42,1200,67,0,
217,2092,15,0,20,1200,26,0,
218,15,2686,0,8,1200,79,0,
219,2686,15,0,46,1200,27,0,
220,15,3154,0,52,1200,35,0,
221,3154,15,0,26,1200,13,0,
222,16,395,0,35,1200,56,0,
223,395,16,0,60,1200,69,0,
224,16,943,0,3,1200,43,0,
225,943,16,0,4,1200,81,0,
226,16,1663,0,93,1200,83,0,
227,1663,16,0,62,1200,84,0,
228,16,2042,0,64,1200,59,0,
229,2042,16,0,50,1200,87,0,
230,16,3164,0,92,1200,12,0,
231,3164,16,0,19,1200,96,0,
232,16,3906,0,43,1200,29,0,
233,3906,16,0,92,1200,5,0,
234,17,264,0,82,1200,49,0,
235,264,17,0,14,1200,64,0,
236,17,436,0,14,1200,43,0,
237,436,17,0,54,1200,66,0,
238,17,438,0,29,1200,6,0,
239,438,17,0,3,1200,85,0,
240,17,613,0,98,1200,99,0,
241,613,17,0,73,1200,15,0,
242,17,971,0,5,1200,18,0,
243,971,17,0,93,1200,49,0,
244,17,1702,0,5,1200,47,0,
245,1702,17,0,45,1200,2,0,
246,17,1895,0,64,1200,5,0,
247,1895,17,0,64,1200,37,0,
248,17,2649,0,43,1200,6,0,
249,2649,17,0,43,1200,42,0,
250,17,2848,0,51,1200,51,0,
251,2848,17,0,13,1200,83,0,
252,18,108,0,90,1200,16,0,
253,108,18,0,73,1200,76,0,
254,18,188,0,68,1200,88,0,
255,188,18,0,95,1200,73,0,
256,18,202,0,69,1200,67,0,
257,202,18,0,7,1200,81,0,
258,18,340,0,92,1200,30,0,
259,340,18,0,78,1200,27,0,
260,18,1265,0,88,1200,88,0,
261,1265,18,0,42,1200,42,0,
262,18,1494,0,5,1200,64,0,
263,1494,18,0,47,1200,50,0,
264,18,1570,0,48,1200,39,0,
265,1570,18,0,98,1200,7,0,
266,18,2012,0,92,1200,73,0,
267,2012,18,0,47,1200,16,0,
