DemandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOptCost,SfcNum,SfcRequest
0,3714,4655,0,290.60279530744543,178,0,0,-1,0,3,1|0|4
1,3316,4945,0,379.64012219795177,72,0,0,-1,0,3,0|2|5
2,414,4116,0,295.178933143899,7,0,0,-1,0,3,3|5|0
3,3849,983,0,234.91171013598955,119,0,0,-1,0,3,2|3|0
4,997,2517,0,299.99191079555345,928,0,0,-1,0,3,5|1|2
5,7017,4855,0,251.59149595516925,178,0,0,-1,0,3,0|2|1
6,997,4197,0,331.19406029726326,155,0,0,-1,0,3,4|0|3
7,983,4048,0,337.5504169154763,33,0,0,-1,0,3,4|5|0
8,754,7153,0,252.3377557885165,111,0,0,-1,0,3,2|1|3
9,3674,7622,0,263.7682567297397,59,0,0,-1,0,3,0|1|5
10,5884,440,0,195.4994601555345,67,0,0,-1,0,3,3|2|4
11,4743,3465,0,176.13652856471379,87,0,0,-1,0,3,2|0|3
12,433,5912,0,187.92563018855907,108,0,0,-1,0,3,5|1|4
13,456,1857,0,382.01456283454746,63,0,0,-1,0,3,1|0|3
14,1437,5248,0,233.94232617523383,194,0,0,-1,0,3,4|0|1
15,3861,5718,0,274.20194116849973,270,0,0,-1,0,3,4|0|2
16,4647,5456,0,233.5624950154413,139,0,0,-1,0,3,5|3|4
17,479,2940,0,253.09800403646526,131,0,0,-1,0,3,5|1|2
18,1396,3343,0,259.215192164093,308,0,0,-1,0,3,2|5|0
19,123,6279,0,235.2591091360893,396,0,0,-1,0,3,4|2|3
20,7532,4856,0,342.3727623324362,260,0,0,-1,0,3,2|3|0
21,1713,1374,0,326.31467367010634,133,0,0,-1,0,3,0|1|2
22,593,3780,0,206.70885811803976,54,0,0,-1,0,3,2|3|5
23,1331,4143,0,291.6864733432752,11,0,0,-1,0,3,2|1|5
24,5339,7120,0,330.59223467602084,624,0,0,-1,0,3,0|2|4
25,3561,3112,0,224.00414643586248,5,0,0,-1,0,3,5|4|1
26,895,4058,0,220.4413312556846,129,0,0,-1,0,3,1|5|4
27,2337,4148,0,279.3762953917163,75,0,0,-1,0,3,0|4|5
28,4602,3647,0,223.31773621607323,19,0,0,-1,0,3,5|1|2
29,460,7522,0,224.2149792407705,153,0,0,-1,0,3,0|2|4
30,4687,6134,0,213.1561429641082,647,0,0,-1,0,3,4|2|3
31,3801,6227,0,208.57833335783573,177,0,0,-1,0,3,2|3|4
32,7996,7717,0,188.01382011756962,24,0,0,-1,0,3,3|2|4
33,4065,1192,0,303.978536702803,212,0,0,-1,0,3,3|0|5
34,4087,3261,0,288.5979008770067,30,0,0,-1,0,3,4|5|3
