NodeID,Capacity,Delay,Cost,Function
0,8000,8,12.0,3
1,8000,8,12.0,
2,8000,8,12.0,
3,8000,8,12.0,
4,8000,8,12.0,
5,8000,8,12.0,3
6,8000,8,12.0,4
7,8000,8,12.0,
8,8000,8,12.0,4
9,8000,8,12.0,
10,8000,8,12.0,5
11,8000,8,12.0,
12,8000,8,12.0,
13,8000,8,12.0,
14,8000,8,12.0,
15,8000,8,12.0,2
16,8000,8,12.0,
17,8000,8,12.0,
18,8000,8,12.0,
19,8000,8,12.0,0|2
20,8000,8,12.0,
21,8000,8,12.0,
22,8000,8,12.0,3
23,8000,8,12.0,
24,8000,8,12.0,5
25,8000,8,12.0,
26,8000,8,12.0,
27,8000,8,12.0,
28,8000,8,12.0,
29,8000,8,12.0,
30,8000,8,12.0,
31,8000,8,12.0,
32,8000,8,12.0,
33,8000,8,12.0,
34,8000,8,12.0,
35,8000,8,12.0,4
36,8000,8,12.0,1
37,8000,8,12.0,
38,8000,8,12.0,
39,8000,8,12.0,3
40,8000,8,12.0,5
41,8000,8,12.0,
42,8000,8,12.0,
43,8000,8,12.0,
44,8000,8,12.0,0
45,8000,8,12.0,
46,8000,8,12.0,4
47,8000,8,12.0,
48,8000,8,12.0,
49,8000,8,12.0,
50,8000,8,12.0,0
51,8000,8,12.0,
52,8000,8,12.0,
53,8000,8,12.0,
54,8000,8,12.0,
55,8000,8,12.0,5
56,8000,8,12.0,5
57,8000,8,12.0,
58,8000,8,12.0,
59,8000,8,12.0,
60,8000,8,12.0,
61,8000,8,12.0,2|4
62,8000,8,12.0,
63,8000,8,12.0,
64,8000,8,12.0,
65,8000,8,12.0,
66,8000,8,12.0,
67,8000,8,12.0,
68,8000,8,12.0,
69,8000,8,12.0,
70,8000,8,12.0,0
71,8000,8,12.0,3
72,8000,8,12.0,2
73,8000,8,12.0,3
74,8000,8,12.0,
75,8000,8,12.0,
76,8000,8,12.0,
77,8000,8,12.0,4
78,8000,8,12.0,
79,8000,8,12.0,
80,8000,8,12.0,
81,8000,8,12.0,
82,8000,8,12.0,
83,8000,8,12.0,1|5
84,8000,8,12.0,
85,8000,8,12.0,
86,8000,8,12.0,1
87,8000,8,12.0,
88,8000,8,12.0,0|1
89,8000,8,12.0,0
90,8000,8,12.0,
91,8000,8,12.0,
92,8000,8,12.0,
93,8000,8,12.0,
94,8000,8,12.0,
95,8000,8,12.0,
96,8000,8,12.0,
97,8000,8,12.0,5
98,8000,8,12.0,
99,8000,8,12.0,3
100,8000,8,12.0,
101,8000,8,12.0,
102,8000,8,12.0,
103,8000,8,12.0,4
104,8000,8,12.0,
105,8000,8,12.0,5
106,8000,8,12.0,
107,8000,8,12.0,0
108,8000,8,12.0,1|3
109,8000,8,12.0,4
110,8000,8,12.0,1
111,8000,8,12.0,
112,8000,8,12.0,4
113,8000,8,12.0,
114,8000,8,12.0,
115,8000,8,12.0,
116,8000,8,12.0,
117,8000,8,12.0,
118,8000,8,12.0,
119,8000,8,12.0,
120,8000,8,12.0,2|5
121,8000,8,12.0,
122,8000,8,12.0,
123,8000,8,12.0,
124,8000,8,12.0,
125,8000,8,12.0,
126,8000,8,12.0,
127,8000,8,12.0,
128,8000,8,12.0,0
129,8000,8,12.0,
130,8000,8,12.0,
131,8000,8,12.0,
132,8000,8,12.0,
133,8000,8,12.0,
134,8000,8,12.0,
135,8000,8,12.0,
136,8000,8,12.0,2|3
137,8000,8,12.0,
138,8000,8,12.0,
139,8000,8,12.0,
140,8000,8,12.0,
141,8000,8,12.0,
142,8000,8,12.0,0
143,8000,8,12.0,
144,8000,8,12.0,1|5
145,8000,8,12.0,0|2
146,8000,8,12.0,0
147,8000,8,12.0,
148,8000,8,12.0,
149,8000,8,12.0,
150,8000,8,12.0,
151,8000,8,12.0,
152,8000,8,12.0,
153,8000,8,12.0,
154,8000,8,12.0,
155,8000,8,12.0,4
156,8000,8,12.0,
157,8000,8,12.0,
158,8000,8,12.0,
159,8000,8,12.0,
160,8000,8,12.0,
161,8000,8,12.0,
162,8000,8,12.0,
163,8000,8,12.0,0
164,8000,8,12.0,
165,8000,8,12.0,
166,8000,8,12.0,
167,8000,8,12.0,
168,8000,8,12.0,4
169,8000,8,12.0,
