DemandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOptCost,SfcNum,SfcRequest
0,3683,4277,0,378.41671377088346,724,0,0,-1,0,3,0|5|2
1,4428,339,0,374.2622856339226,162,0,0,-1,0,3,4|3|1
2,3444,6949,0,422.28965961515087,50,0,0,-1,0,3,0|1|3
3,1617,3062,0,417.1188759338018,110,0,0,-1,0,3,0|2|1
4,1731,6123,0,372.55434628221263,647,0,0,-1,0,3,4|5|2
5,1232,3348,0,306.48114266786865,158,0,0,-1,0,3,0|2|3
6,1226,1814,0,359.62997916486495,618,0,0,-1,0,3,2|0|4
7,5835,7200,0,379.5773428266714,356,0,0,-1,0,3,1|4|5
8,2730,402,0,443.7916434347859,165,0,0,-1,0,3,4|3|5
9,774,5019,0,388.89476218883595,147,0,0,-1,0,3,5|0|4
10,1330,4414,0,372.54220887159084,21,0,0,-1,0,3,0|3|2
11,194,5883,0,363.49340943244,149,0,0,-1,0,3,1|2|4
12,897,3914,0,292.14793826218545,180,0,0,-1,0,3,1|4|5
13,5851,2149,0,386.93676115647526,140,0,0,-1,0,3,5|3|1
14,3667,3787,0,499.670652118657,290,0,0,-1,0,3,5|4|0
15,5776,4125,0,473.9905286100829,9,0,0,-1,0,3,5|1|2
16,3161,3710,0,298.1030074617168,185,0,0,-1,0,3,3|2|1
17,1989,7058,0,377.61468383602613,193,0,0,-1,0,3,0|5|3
18,3437,6114,0,418.2100523672068,9,0,0,-1,0,3,3|2|5
19,5892,813,0,283.39056275293933,724,0,0,-1,0,3,3|1|5
20,926,2564,0,457.75478338636844,379,0,0,-1,0,3,1|0|5
21,1449,2747,0,364.82705649362504,71,0,0,-1,0,3,5|0|3
22,1465,1099,0,323.71755907919595,459,0,0,-1,0,3,0|2|5
23,6441,2198,0,437.3863184894123,97,0,0,-1,0,3,2|5|0
24,804,6468,0,437.09451666778557,521,0,0,-1,0,3,4|0|5
25,6334,7658,0,383.3183414005754,695,0,0,-1,0,3,2|0|5
26,7457,5470,0,240.16818546714958,9,0,0,-1,0,3,4|0|2
27,6633,897,0,395.716536138766,564,0,0,-1,0,3,2|5|1
28,6854,7864,0,320.4932784235207,50,0,0,-1,0,3,4|5|3
29,2981,5634,0,378.1514871981927,725,0,0,-1,0,3,3|2|4
30,4412,2284,0,351.55809978525235,299,0,0,-1,0,3,3|2|4
31,1984,5893,0,303.6544391118295,812,0,0,-1,0,3,5|1|3
32,6844,2397,0,425.5790762073003,167,0,0,-1,0,3,1|2|5
33,2613,3318,0,268.0364936102115,116,0,0,-1,0,3,0|5|2
34,1725,4240,0,352.66703252729434,66,0,0,-1,0,3,1|0|5
