NodeID,Capacity,Delay,Cost,Function
0,8000,0.18262149375921533,5,2
1,8000,0.19462154724428132,3,
2,8000,0.2911401033523552,12,
3,8000,0.19979373316010457,8,1
4,8000,0.11537979141574856,3,
5,8000,0.12054974395454102,1,
6,8000,0.08714306946106563,3,
7,8000,0.04898728371900445,5,4|5
8,8000,0.15296737758012424,15,3
9,8000,0.14569478713477027,14,
10,8000,0.11983948455309971,3,
11,8000,0.04859035479234654,1,
12,8000,0.09570481304264532,5,
13,8000,0.22639219795090576,14,
14,8000,0.24649476283545746,7,
15,8000,0.1995197935691579,9,
16,8000,0.28120672402090396,15,
17,8000,0.21102464150299582,15,
18,8000,0.2783147172636641,10,
19,8000,0.26175983733639885,13,
20,8000,0.15960992190524187,19,0
21,8000,0.06932957970505488,7,
