DemandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOptCost,SfcNum,SfcRequest
0,1,0,0,50.76279354957551,65.58908169136987,0,0,-1,0,3,0|1|4
1,18,8,0,36.53858123672108,47.427556816979106,0,0,-1,0,3,0|1|3
2,11,19,0,43.9587488957179,68.98509006001709,0,0,-1,0,3,2|0|3
3,11,5,0,60.33839612571831,83.71926918154627,0,0,-1,0,3,2|5|1
4,21,20,0,55.778517018071376,68.75538647326789,0,0,-1,0,3,0|4|1
5,1,7,0,62.732062685483854,39.4514963573273,0,0,-1,0,3,0|2|3
6,18,10,0,57.795312798032946,107.31514692753727,0,0,-1,0,3,1|3|4
7,13,18,0,56.345288009982944,119.70583557880771,0,0,-1,0,3,3|2|1
8,15,2,0,67.38387947135425,79.0190645873399,0,0,-1,0,3,0|5|1
9,13,19,0,71.98098190592569,75.54772711972409,0,0,-1,0,3,0|3|4
10,18,2,0,57.75578652943082,117.57829430450676,0,0,-1,0,3,0|3|5
11,4,21,0,70.31305639686197,39.1562291834065,0,0,-1,0,3,3|4|1
12,7,2,0,41.848906745583456,74.72841258513861,0,0,-1,0,3,2|0|1
13,2,16,0,55.595912357962945,33.56604881074824,0,0,-1,0,3,1|2|3
14,18,15,0,60.20781540495727,30.945090579806546,0,0,-1,0,3,1|3|4
15,13,11,0,53.187216325991955,105.02204232065635,0,0,-1,0,3,3|5|4
16,5,8,0,60.07601108507198,58.744381955880264,0,0,-1,0,3,3|1|0
17,17,3,0,61.9119522959125,116.58958830132264,0,0,-1,0,3,0|4|5
18,12,1,0,56.17194833376846,118.38397281576985,0,0,-1,0,3,1|3|0
19,1,18,0,70.43045225916742,16.256753770155296,0,0,-1,0,3,3|4|1
20,5,2,0,58.58937916963228,54.41531064501052,0,0,-1,0,3,4|0|1
21,6,21,0,49.19410835842185,39.21759637844892,0,0,-1,0,3,5|2|1
22,19,18,0,51.602223023391105,65.64731634536419,0,0,-1,0,3,0|5|1
23,11,2,0,54.68077421825284,27.352151559295518,0,0,-1,0,3,1|2|4
24,9,19,0,51.12668822503838,83.46495240838419,0,0,-1,0,3,5|4|0
25,21,3,0,48.88328521933843,107.86839777062801,0,0,-1,0,3,1|2|0
26,1,2,0,51.63685723527418,14.849543797895503,0,0,-1,0,3,5|3|2
27,13,17,0,61.20671026744874,113.9556032951303,0,0,-1,0,3,0|5|4
28,4,17,0,53.30338312816819,57.27653841688489,0,0,-1,0,3,0|2|1
29,11,1,0,56.68113161136912,83.36267516990974,0,0,-1,0,3,2|1|4
30,5,13,0,59.51454663630986,96.06251457623948,0,0,-1,0,3,0|1|2
31,1,15,0,68.99938709171838,48.46242668905105,0,0,-1,0,3,1|5|3
32,17,10,0,73.83885414410092,29.642459778971002,0,0,-1,0,3,0|5|2
33,10,13,0,52.45916756459351,52.37149766791999,0,0,-1,0,3,4|5|0
34,8,1,0,77.30345392828987,67.1912383423244,0,0,-1,0,3,5|3|0
35,21,6,0,51.5707055055206,114.37619345684458,0,0,-1,0,3,2|3|0
36,9,12,0,56.28973661229174,41.560508855581986,0,0,-1,0,3,4|0|2
37,21,6,0,61.60812177914791,82.4735819498264,0,0,-1,0,3,4|3|1
38,21,20,0,37.98285156833655,100.02658109903307,0,0,-1,0,3,4|2|0
39,21,9,0,42.39812603279931,12.686792649950897,0,0,-1,0,3,1|5|4
40,17,14,0,62.81027091238187,38.511070331152126,0,0,-1,0,3,1|3|4
41,2,9,0,60.23665401074701,45.16805252606385,0,0,-1,0,3,1|2|4
42,13,12,0,67.12556321159337,62.46777058130926,0,0,-1,0,3,4|0|3
43,21,12,0,66.33237468694341,111.14957827358735,0,0,-1,0,3,5|1|3
44,13,4,0,59.443618350431066,38.617194531123516,0,0,-1,0,3,3|1|0
45,13,8,0,71.48191091827951,92.39266871911357,0,0,-1,0,3,0|3|5
46,15,21,0,58.87932108656689,61.15373817787428,0,0,-1,0,3,0|4|1
