DemandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOptCost,SfcNum,SfcRequest
0,31,96,0,84.18282914829223,101.23451306782944,0,0,-1,0,3,0|4|2
1,74,20,0,82.72999653788716,40.57709634211013,0,0,-1,0,3,1|0|3
2,8,80,0,123.44466081410201,33.20811279449591,0,0,-1,0,3,3|2|0
3,137,67,0,90.94656875206675,108.76051719627247,0,0,-1,0,3,5|4|3
4,98,97,0,82.77466650981357,116.81862153749799,0,0,-1,0,3,4|3|2
5,41,138,0,100.10432504341465,63.74662788318427,0,0,-1,0,3,4|0|2
6,136,32,0,99.96349321017289,39.1562291834065,0,0,-1,0,3,1|3|5
7,95,112,0,109.3713992540325,37.269617503260875,0,0,-1,0,3,4|3|0
8,5,141,0,109.59248088759439,10.79099228836029,0,0,-1,0,3,1|4|5
9,60,71,0,109.40843122731084,69.31573245342301,0,0,-1,0,3,5|3|1
10,48,24,0,87.06023149919764,56.59364853219129,0,0,-1,0,3,0|3|2
11,27,63,0,94.79279352874553,25.420052680425194,0,0,-1,0,3,1|5|3
12,99,67,0,37.27725069158278,86.62506539601787,0,0,-1,0,3,3|2|5
13,60,103,0,76.94841428144257,73.68109632579316,0,0,-1,0,3,0|4|1
14,20,107,0,70.58461542423123,112.81768835100699,0,0,-1,0,3,5|4|2
15,80,61,0,82.34101228122957,83.88592452559683,0,0,-1,0,3,2|3|1
16,80,18,0,88.36037563238358,18.05867932095963,0,0,-1,0,3,0|3|5
17,67,33,0,104.51837126581071,50.647979761277234,0,0,-1,0,3,2|0|1
18,85,33,0,69.15080529792725,91.53539991827239,0,0,-1,0,3,5|2|1
19,10,78,0,110.36008120937134,33.10841921737294,0,0,-1,0,3,2|0|5
20,27,97,0,98.91190754381314,31.953011302832707,0,0,-1,0,3,0|3|1
21,130,102,0,86.1059872328922,113.31608543571873,0,0,-1,0,3,5|4|2
22,66,45,0,111.92497381538637,21.924280193618223,0,0,-1,0,3,4|2|0
23,147,48,0,123.07700259839194,10.186040604049241,0,0,-1,0,3,2|0|3
24,97,44,0,64.17868857641398,54.668268563397916,0,0,-1,0,3,4|5|2
25,77,73,0,87.03737656982626,61.14870092717156,0,0,-1,0,3,1|3|2
26,85,23,0,63.7604744267273,98.72191840338924,0,0,-1,0,3,1|2|5
27,11,62,0,83.71407681146161,60.095778521809805,0,0,-1,0,3,3|4|0
28,37,1,0,107.25656481877061,29.347534987718483,0,0,-1,0,3,0|3|1
29,76,99,0,103.75115668137865,63.705242530527556,0,0,-1,0,3,3|4|1
30,144,6,0,87.33833060204418,105.35364911546431,0,0,-1,0,3,0|3|1
31,66,97,0,50.579379132522604,45.95303853694394,0,0,-1,0,3,2|1|3
32,97,71,0,90.24923506672735,61.73375198343516,0,0,-1,0,3,3|2|0
33,63,51,0,117.48528968826272,36.239943607779644,0,0,-1,0,3,0|4|1
34,79,147,0,85.64864625630051,113.56176583954407,0,0,-1,0,3,5|3|4
35,62,26,0,60.94069169215648,97.58499382602332,0,0,-1,0,3,5|2|0
36,10,88,0,97.53906165333419,17.585241017160456,0,0,-1,0,3,4|3|2
37,3,107,0,74.2669065978131,115.68663239360365,0,0,-1,0,3,3|0|5
38,62,22,0,69.50671150328436,92.55239100097069,0,0,-1,0,3,2|3|1
39,104,125,0,80.95728405269864,81.04931897150475,0,0,-1,0,3,4|1|3
40,4,23,0,114.98651482393697,86.0965870824722,0,0,-1,0,3,2|1|3
41,148,94,0,84.75857562817636,56.80541939757362,0,0,-1,0,3,3|4|2
42,84,90,0,80.48426992019134,43.72852904837135,0,0,-1,0,3,5|3|2
43,49,80,0,101.22218405073633,31.069507031159922,0,0,-1,0,3,0|4|1
44,70,134,0,68.20429128967203,101.58911996597747,0,0,-1,0,3,4|2|0
45,92,45,0,102.49153966978339,40.1742459461594,0,0,-1,0,3,2|0|1
46,3,146,0,90.13732682115017,58.45156779496113,0,0,-1,0,3,2|3|4
47,18,147,0,121.39277795927238,26.411734292102068,0,0,-1,0,3,5|0|1
48,77,21,0,111.70643500676712,76.6949416367259,0,0,-1,0,3,1|0|3
49,57,133,0,57.195920425482726,42.70884457691261,0,0,-1,0,3,3|5|4
50,109,78,0,99.09647318413319,77.05940034696434,0,0,-1,0,3,4|5|0
51,50,108,0,95.8099489932383,81.23981957427289,0,0,-1,0,3,0|4|1
52,44,120,0,77.85811490221748,29.963806194543853,0,0,-1,0,3,4|3|2
53,125,23,0,83.66530253064583,46.663923303160125,0,0,-1,0,3,3|2|5
54,82,29,0,76.24987230510956,82.34264251314418,0,0,-1,0,3,3|4|0
55,23,57,0,66.7768762151264,81.24806576621346,0,0,-1,0,3,0|3|5
56,74,130,0,78.45741445862723,101.81963401343639,0,0,-1,0,3,5|2|3
57,148,125,0,77.28584137965925,47.96363358623083,0,0,-1,0,3,1|3|4
58,104,39,0,109.11363656448472,47.241735745657486,0,0,-1,0,3,0|3|2
59,20,84,0,56.86172430379646,114.95535518849437,0,0,-1,0,3,5|4|3
60,124,138,0,60.79343233826353,35.82472674122237,0,0,-1,0,3,0|4|5
61,73,58,0,81.16101695238048,117.61715010426002,0,0,-1,0,3,5|0|3
62,97,61,0,121.0292589256217,35.54072887246675,0,0,-1,0,3,3|4|1
63,139,40,0,91.74400869604982,118.64168647403186,0,0,-1,0,3,0|3|2
64,23,75,0,98.89761811150797,32.087427411508386,0,0,-1,0,3,2|3|1
65,93,135,0,110.87704794237037,38.266709301958855,0,0,-1,0,3,4|2|1
