LinkID,SourceID,DestinationID,Peer ID,Cost,Bandwidth,Delay,SRLGNum,SRLGs
0,0,35,0,52,1200,2.482424154252496,0,
1,35,0,0,93,1200,3.6462013680997583,0,
2,0,103,0,15,1200,4.07568559307808,0,
3,103,0,0,72,1200,3.9558837785078014,0,
4,1,65,0,61,1200,2.6728079283816792,0,
5,65,1,0,21,1200,4.136537664042608,0,
6,1,39,0,83,1200,2.7117472624904,0,
7,39,1,0,87,1200,2.976199094477803,0,
8,2,3,0,75,1200,4.239474215354072,0,
9,3,2,0,75,1200,3.9488986971416438,0,
10,2,101,0,88,1200,4.547670231482534,0,
11,101,2,0,24,1200,3.97283867690103,0,
12,2,55,0,3,1200,3.704925810006415,0,
13,55,2,0,22,1200,2.281024303484277,0,
14,3,49,0,53,1200,3.1031474091783005,0,
15,49,3,0,2,1200,2.7956071030451763,0,
16,3,101,0,88,1200,2.731968930137251,0,
17,101,3,0,30,1200,4.919031664257337,0,
18,4,48,0,38,1200,3.179293174000281,0,
19,48,4,0,2,1200,4.676139665531339,0,
20,4,5,0,64,1200,3.8934158779917887,0,
21,5,4,0,60,1200,4.384433910624946,0,
22,5,33,0,21,1200,3.5079112793155764,0,
23,33,5,0,33,1200,3.7307116538790774,0,
24,6,33,0,76,1200,3.4775530814565916,0,
25,33,6,0,58,1200,2.5857289633941334,0,
26,6,19,0,22,1200,4.1673563457845155,0,
27,19,6,0,89,1200,2.8423170873225674,0,
28,7,64,0,49,1200,2.0729478992943617,0,
29,64,7,0,91,1200,3.9364168877215033,0,
30,7,8,0,59,1200,2.531332038221147,0,
31,8,7,0,42,1200,4.821375753058743,0,
32,7,18,0,92,1200,4.861785731007762,0,
33,18,7,0,60,1200,4.744593170661346,0,
34,7,19,0,80,1200,3.1104761007663333,0,
35,19,7,0,15,1200,2.0463698495866023,0,
36,8,64,0,62,1200,4.784955687763176,0,
37,64,8,0,62,1200,3.284552444951943,0,
38,8,9,0,47,1200,4.899964457131009,0,
39,9,8,0,62,1200,4.890859931267759,0,
40,9,39,0,51,1200,4.55902836640208,0,
41,39,9,0,55,1200,2.883346676208757,0,
42,10,37,0,64,1200,3.1552931858057756,0,
43,37,10,0,3,1200,4.553410014550571,0,
44,10,17,0,51,1200,2.950766015468833,0,
45,17,10,0,7,1200,2.5084782400582775,0,
46,10,82,0,21,1200,3.6704037873750504,0,
47,82,10,0,73,1200,4.808464322482343,0,
48,10,83,0,39,1200,4.088089390024919,0,
49,83,10,0,18,1200,3.710183510268095,0,
50,10,22,0,4,1200,2.2915294813123057,0,
51,22,10,0,89,1200,3.845021680097509,0,
52,10,22,0,60,1200,4.97016155031279,0,
53,22,10,0,14,1200,2.420252045709572,0,
54,10,31,0,9,1200,3.55498895709121,0,
55,31,10,0,90,1200,4.632119215783867,0,
56,11,72,0,53,1200,4.222305853262613,0,
57,72,11,0,2,1200,4.091047222985804,0,
58,11,72,0,84,1200,4.107452251961328,0,
59,72,11,0,92,1200,3.0784734536592655,0,
60,11,73,0,60,1200,2.8807755327934803,0,
61,73,11,0,71,1200,4.428083466435541,0,
62,11,106,0,44,1200,4.430340184037542,0,
63,106,11,0,8,1200,4.601216955740311,0,
64,11,21,0,47,1200,4.7397216576694134,0,
65,21,11,0,35,1200,3.534027196582813,0,
66,12,19,0,78,1200,3.504548884061599,0,
67,19,12,0,81,1200,4.3948855369003255,0,
68,12,19,0,36,1200,3.9498917923332955,0,
69,19,12,0,50,1200,4.10590063177311,0,
70,12,26,0,4,1200,4.387378008308303,0,
71,26,12,0,2,1200,4.670016025452699,0,
72,12,27,0,6,1200,3.0139854705546076,0,
73,27,12,0,54,1200,3.126748857919832,0,
74,12,52,0,4,1200,2.281945819522607,0,
75,52,12,0,54,1200,3.7348404229885217,0,
76,13,104,0,93,1200,2.1078268213902263,0,
77,104,13,0,63,1200,3.3967940543973807,0,
78,13,105,0,18,1200,3.62793390412273,0,
79,105,13,0,90,1200,2.8596237563848534,0,
80,13,61,0,44,1200,3.7724997817070323,0,
81,61,13,0,34,1200,2.0915007498171483,0,
82,14,44,0,74,1200,2.1120445662476435,0,
83,44,14,0,62,1200,4.467801681978974,0,
84,14,15,0,14,1200,3.0805719242337886,0,
85,15,14,0,95,1200,2.3811815379556545,0,
86,15,44,0,48,1200,3.566729780164413,0,
87,44,15,0,15,1200,4.3099806592958325,0,
88,16,24,0,72,1200,2.6474630824905296,0,
89,24,16,0,78,1200,3.868671427457001,0,
