NodeID,Capacity,Delay,Cost,Function
0,8000,0.29452399443923083,8,4
1,8000,0.26341699205572133,1,
2,8000,0.22379831470551625,10,
3,8000,0.23039947421192447,18,4
4,8000,0.18832856257265562,16,
5,8000,0.28650812011267235,8,
6,8000,0.1715459819850022,1,0
7,8000,0.1420320160168231,12,
8,8000,0.0865740109175557,8,
9,8000,0.24548244132656977,16,
10,8000,0.23228320267927582,18,
11,8000,0.1430105348236544,4,4
12,8000,0.051424320559603484,6,
13,8000,0.25894431856809275,12,
14,8000,0.047911585780788774,9,
15,8000,0.22444344380540798,15,
16,8000,0.29241556298014454,16,
17,8000,0.15660363867779187,12,
18,8000,0.10491821827396795,14,
19,8000,0.22474210756106233,13,4
20,8000,0.2533676762139742,2,
21,8000,0.1843397305998511,3,
22,8000,0.29159399519031726,10,
23,8000,0.058175524022780076,9,
24,8000,0.1737228775676547,8,
25,8000,0.22820575656725028,10,0
26,8000,0.26497332014304065,19,
27,8000,0.09071018103648645,3,0
28,8000,0.24900088784973878,5,
29,8000,0.18594030430822905,3,
30,8000,0.14612118890744064,16,0
31,8000,0.07858733228766886,17,
32,8000,0.2656504185217727,15,0|2
33,8000,0.08510466808582742,3,
34,8000,0.1239959040983203,12,
35,8000,0.1189616106504214,9,
36,8000,0.2672105787186678,12,
37,8000,0.21653926352326902,15,
38,8000,0.24815375628379993,2,
39,8000,0.10886931419208724,18,
40,8000,0.20434289539978473,12,
41,8000,0.1907952257016559,4,
42,8000,0.25737174608100916,16,
43,8000,0.27605220042272144,16,
44,8000,0.048099976726733634,1,1
45,8000,0.21687507935999212,2,
46,8000,0.0582181287755309,3,1
47,8000,0.18495895959472575,17,
48,8000,0.11834634590613795,1,3
49,8000,0.123228032878146,6,
50,8000,0.13500441838035093,15,
51,8000,0.2034295745076506,14,
52,8000,0.13018274124553614,15,
53,8000,0.23183825790052148,14,
54,8000,0.14815448332133677,5,
55,8000,0.06243006607903945,6,
56,8000,0.24485875983344735,17,
57,8000,0.11786837277114003,11,2
58,8000,0.15535555429781198,16,
59,8000,0.2197881902215849,12,5
60,8000,0.12977632007292156,15,
61,8000,0.05942934231741248,4,
62,8000,0.14034986698826746,18,
63,8000,0.28583438858704735,3,
64,8000,0.20864227131113233,8,
65,8000,0.21622718291013776,3,3
66,8000,0.20623194917759818,8,
67,8000,0.09574299543465639,18,2
68,8000,0.15167513534608143,10,
69,8000,0.23648964858264615,17,
70,8000,0.07085008887605558,8,5
71,8000,0.11585245790287663,11,1
72,8000,0.11546137265879267,5,
73,8000,0.15516482653659902,13,2
74,8000,0.29499402894025717,5,
75,8000,0.06221314940437459,13,
76,8000,0.17726875356705174,6,
77,8000,0.09073799391311366,5,
78,8000,0.29252251907948473,9,
79,8000,0.07389239370550336,16,
80,8000,0.14791825560220578,2,1|5
81,8000,0.23316067113282457,1,1
82,8000,0.22466137914699857,8,
83,8000,0.1527958024079527,19,
84,8000,0.13336366282794315,11,
85,8000,0.146391156530982,12,
86,8000,0.11239044710545301,12,
87,8000,0.09735989937023395,7,5
88,8000,0.16817512287751696,13,
89,8000,0.11347610779723986,8,0
90,8000,0.11830272454879878,9,
91,8000,0.21247279618601206,7,
92,8000,0.2919770195834725,15,
93,8000,0.19892748614264066,2,3
94,8000,0.0646297641015664,12,1
95,8000,0.06427382153278707,1,0
96,8000,0.28761292131561933,8,
97,8000,0.12080915152837007,5,
98,8000,0.06847708145103124,15,
99,8000,0.19775636972334731,1,1
