LinkID,SourceID,DestinationID,Peer ID,Cost,Bandwidth,Delay,SRLGNum,SRLGs
0,0,237,0,52,1200,4.453901072357187,0,
1,237,0,0,93,1200,4.496402533873226,0,
2,0,751,0,15,1200,3.5224032012825086,0,
3,751,0,0,72,1200,2.0191576151505006,0,
4,1,3,0,61,1200,2.8611143995247383,0,
5,3,1,0,21,1200,3.850780755127227,0,
6,1,117,0,83,1200,4.94355853408227,0,
7,117,1,0,87,1200,3.8954405810500052,0,
8,2,441,0,75,1200,2.7794107431924795,0,
9,441,2,0,75,1200,3.902017109298834,0,
10,2,4,0,88,1200,3.6199561391475665,0,
11,4,2,0,24,1200,4.339536185453431,0,
12,3,120,0,3,1200,2.320941916480875,0,
13,120,3,0,22,1200,4.2830837075060835,0,
14,4,649,0,53,1200,3.6237997360283307,0,
15,649,4,0,2,1200,4.888976011576984,0,
16,5,317,0,88,1200,3.025616498116058,0,
17,317,5,0,30,1200,3.8978656794018445,0,
18,5,719,0,38,1200,4.796084316530052,0,
19,719,5,0,2,1200,2.3075291839720378,0,
20,6,308,0,64,1200,4.811685461709353,0,
21,308,6,0,60,1200,4.0636571669024395,0,
22,6,719,0,21,1200,2.203511177315516,0,
23,719,6,0,33,1200,2.902890700840449,0,
24,7,512,0,76,1200,4.124516265935845,0,
25,512,7,0,58,1200,2.202051804406315,0,
26,7,244,0,22,1200,3.74651138052882,0,
27,244,7,0,89,1200,3.03764917085887,0,
28,8,9,0,49,1200,3.8627465533024314,0,
29,9,8,0,91,1200,2.1372261014375384,0,
30,8,449,0,59,1200,4.614610418457129,0,
31,449,8,0,42,1200,4.920466907532191,0,
32,9,220,0,92,1200,4.906633565857074,0,
33,220,9,0,60,1200,4.248955495228774,0,
34,10,272,0,80,1200,2.3902587203918957,0,
35,272,10,0,15,1200,4.274789587787067,0,
36,10,11,0,62,1200,2.0737607493764045,0,
37,11,10,0,62,1200,2.0663706545869918,0,
38,11,57,0,47,1200,2.970830657448624,0,
39,57,11,0,62,1200,3.465929571213997,0,
40,12,562,0,51,1200,4.311222253423379,0,
41,562,12,0,55,1200,4.049886129819516,0,
42,12,70,0,64,1200,3.337708119130245,0,
43,70,12,0,3,1200,2.8208799988449975,0,
44,13,57,0,51,1200,4.991373500473133,0,
45,57,13,0,7,1200,3.278543906707919,0,
46,13,14,0,21,1200,3.3541610729890263,0,
47,14,13,0,73,1200,2.4908714635750075,0,
48,14,15,0,39,1200,4.384428646249788,0,
49,15,14,0,18,1200,4.081046677344466,0,
50,15,16,0,4,1200,2.662308838366281,0,
51,16,15,0,89,1200,2.2471431368475283,0,
52,15,16,0,60,1200,4.041497906224139,0,
53,16,15,0,14,1200,3.9635336428434056,0,
54,16,17,0,9,1200,2.819778580994628,0,
55,17,16,0,90,1200,4.852590686751231,0,
56,16,311,0,53,1200,2.4531736753427005,0,
57,311,16,0,2,1200,3.2970044031278056,0,
58,16,718,0,84,1200,4.830847760502797,0,
59,718,16,0,92,1200,3.259181950778367,0,
60,17,348,0,60,1200,3.9155778429922568,0,
61,348,17,0,71,1200,3.192783193888383,0,
62,18,339,0,44,1200,2.82264560704601,0,
63,339,18,0,8,1200,4.951932943879484,0,
64,18,42,0,47,1200,3.228002018945129,0,
65,42,18,0,35,1200,4.682297611037403,0,
66,18,43,0,78,1200,2.6898638176732588,0,
67,43,18,0,81,1200,2.63931411207525,0,
68,18,487,0,36,1200,2.093402248653534,0,
69,487,18,0,50,1200,3.955000476127655,0,
70,19,504,0,4,1200,3.1055790311712834,0,
71,504,19,0,2,1200,4.593074749518911,0,
72,19,43,0,6,1200,3.4196297200746715,0,
73,43,19,0,54,1200,4.904580283744165,0,
74,20,634,0,4,1200,2.5565765471093633,0,
75,634,20,0,54,1200,4.605869503866833,0,
76,20,654,0,93,1200,4.329790558375225,0,
77,654,20,0,63,1200,4.312765533932156,0,
78,21,245,0,18,1200,4.534349684350663,0,
79,245,21,0,90,1200,4.2830719728289965,0,
80,21,118,0,44,1200,3.8786609648942463,0,
81,118,21,0,34,1200,2.3937346330471625,0,
82,22,666,0,74,1200,2.0975785384737557,0,
83,666,22,0,62,1200,4.762543543447061,0,
84,22,603,0,14,1200,3.849950943562214,0,
85,603,22,0,95,1200,4.389611872928529,0,
86,22,524,0,48,1200,3.44456705453765,0,
87,524,22,0,15,1200,2.3519245668871833,0,
88,23,393,0,72,1200,2.3755573766076514,0,
89,393,23,0,78,1200,4.056695861686914,0,
90,23,25,0,87,1200,3.290917684698388,0,
91,25,23,0,62,1200,2.60157418010101,0,
92,24,490,0,40,1200,3.4747836402243104,0,
93,490,24,0,85,1200,2.192626811225402,0,
94,24,628,0,80,1200,3.7459142057431962,0,
95,628,24,0,82,1200,2.806980213305293,0,
96,24,487,0,53,1200,4.392677301911565,0,
97,487,24,0,24,1200,2.9310858767707213,0,
98,25,171,0,26,1200,3.3656604472454035,0,
99,171,25,0,89,1200,2.034861619724302,0,
100,25,172,0,60,1200,2.2173406633836765,0,
101,172,25,0,41,1200,3.1774806692200546,0,
102,25,84,0,29,1200,3.4398165041513704,0,
103,84,25,0,15,1200,3.8000616443579114,0,
104,25,373,0,45,1200,2.8749877361279097,0,
105,373,25,0,65,1200,4.0849456583796275,0,
106,25,374,0,89,1200,4.580367191567614,0,
107,374,25,0,71,1200,4.339552966680049,0,
108,26,27,0,9,1200,2.1188564760450714,0,
109,27,26,0,88,1200,3.441520841773487,0,
110,26,214,0,1,1200,2.3147905352545246,0,
111,214,26,0,8,1200,2.7261350475875825,0,
112,27,32,0,88,1200,4.959987779801439,0,
113,32,27,0,63,1200,2.4274866287045396,0,
114,28,224,0,11,1200,3.496664460354068,0,
115,224,28,0,81,1200,3.8544672029543574,0,
116,28,230,0,8,1200,4.107394911632312,0,
