DemandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOptCost,SfcNum,SfcRequest
0,567,235,0,121.11118420386731,17.80923946099358,0,0,-1,0,3,4|1|0
1,234,69,0,104.0455607916943,66.5571731789448,0,0,-1,0,3,0|2|5
2,484,416,0,197.31766897335723,82.48810244661294,0,0,-1,0,3,1|0|4
3,420,478,0,263.8842062782233,16.6673941484715,0,0,-1,0,3,5|0|4
4,111,254,0,90.23986824394174,25.420052680425194,0,0,-1,0,3,1|5|3
5,553,15,0,237.11398011707283,54.70554637477192,0,0,-1,0,3,0|1|4
6,410,60,0,132.03982768610973,118.38397281576985,0,0,-1,0,3,1|3|0
7,303,222,0,222.29359006815173,92.27731164169705,0,0,-1,0,3,0|4|5
8,40,634,0,134.26066072609927,112.81768835100699,0,0,-1,0,3,0|3|2
9,733,321,0,145.41385702466627,24.39661103402021,0,0,-1,0,3,1|2|3
10,576,102,0,198.96012976369627,65.64731634536419,0,0,-1,0,3,0|4|1
11,556,720,0,225.61210000013529,83.46495240838419,0,0,-1,0,3,2|4|0
12,679,106,0,146.36713307878478,107.86839777062801,0,0,-1,0,3,1|2|0
13,208,703,0,130.74077246887362,37.62333772768835,0,0,-1,0,3,5|2|3
14,52,94,0,130.9715169175695,14.849543797895503,0,0,-1,0,3,5|3|2
15,133,652,0,193.92122367057218,70.68484632390303,0,0,-1,0,3,2|1|3
16,9,114,0,248.67269106675522,101.80545218746184,0,0,-1,0,3,0|1|5
17,151,440,0,181.88428273782583,50.111666685998166,0,0,-1,0,3,1|0|2
18,40,366,0,155.4620928220624,48.90464980760802,0,0,-1,0,3,1|5|0
19,416,635,0,184.71814457767982,105.10662658419604,0,0,-1,0,3,5|1|4
20,181,422,0,193.76516223819095,96.06251457623948,0,0,-1,0,3,0|1|2
21,685,752,0,265.465690603505,96.61119600490183,0,0,-1,0,3,1|2|5
22,39,481,0,230.36213135938755,48.46242668905105,0,0,-1,0,3,1|5|3
23,271,39,0,216.00255551148499,48.02558228477803,0,0,-1,0,3,0|4|3
24,446,620,0,209.97068498376018,108.94552062023196,0,0,-1,0,3,4|0|3
25,45,725,0,103.06713165372766,50.06436189593906,0,0,-1,0,3,3|0|1
26,680,338,0,134.85821511438007,89.17296893153451,0,0,-1,0,3,4|2|0
27,316,682,0,239.01950893716398,86.6929255613839,0,0,-1,0,3,3|2|5
28,196,430,0,166.42916749293758,77.70664075465186,0,0,-1,0,3,5|3|1
29,593,621,0,184.3216588339634,58.59646185217482,0,0,-1,0,3,5|2|3
30,47,250,0,71.5225661216809,60.095778521809805,0,0,-1,0,3,3|4|0
31,589,199,0,151.20075834199116,53.961814916419144,0,0,-1,0,3,5|3|4
32,712,530,0,112.91923021347168,110.92170159009842,0,0,-1,0,3,3|0|1
33,453,627,0,195.82275419363614,101.36260866935565,0,0,-1,0,3,5|4|3
34,162,486,0,138.38702932434913,102.38491766261129,0,0,-1,0,3,3|2|1
35,533,496,0,145.13713389766292,58.3859852591393,0,0,-1,0,3,5|1|2
36,236,392,0,90.53088834686463,17.06517357852659,0,0,-1,0,3,5|1|4
37,398,598,0,77.57744152958061,62.46777058130926,0,0,-1,0,3,5|0|3
38,305,399,0,185.844465709859,63.705242530527556,0,0,-1,0,3,3|4|1
39,497,29,0,128.29054744812117,89.65995153900177,0,0,-1,0,3,3|2|5
40,130,637,0,134.95284274155398,75.1082053190702,0,0,-1,0,3,4|0|3
41,388,284,0,229.34771385002333,61.73375198343516,0,0,-1,0,3,3|2|0
42,167,318,0,100.51586601840876,112.17758852478337,0,0,-1,0,3,0|4|5
43,384,406,0,107.18519918918815,75.13076473748374,0,0,-1,0,3,5|1|0
44,248,104,0,156.55575861548328,97.58499382602332,0,0,-1,0,3,5|2|0
45,42,355,0,133.72190165866581,17.585241017160456,0,0,-1,0,3,4|3|2
46,12,430,0,90.62659180352617,115.68663239360365,0,0,-1,0,3,3|0|5
47,666,276,0,188.35481278012477,61.13611487979586,0,0,-1,0,3,4|5|3
48,606,274,0,176.9623382118948,40.682107411171714,0,0,-1,0,3,2|1|0
49,332,186,0,158.09151673408795,97.76155925109062,0,0,-1,0,3,3|1|2
50,610,718,0,199.1876413366055,66.82899768864276,0,0,-1,0,3,2|4|0
51,247,737,0,120.13110403746715,85.96702733911754,0,0,-1,0,3,3|5|1
52,543,352,0,183.26666151777908,48.69915803755851,0,0,-1,0,3,3|4|2
53,313,257,0,195.32497715338104,44.710273840658516,0,0,-1,0,3,1|0|5
54,706,189,0,90.56005672916065,40.414958966555815,0,0,-1,0,3,1|5|3
55,537,611,0,147.8837900009892,42.58711095916589,0,0,-1,0,3,2|0|1
56,55,566,0,146.025875166971,21.284641146653673,0,0,-1,0,3,2|1|3
57,291,480,0,177.95806472955775,30.28000374290899,0,0,-1,0,3,3|5|2
58,489,116,0,151.4704576461477,18.149038728120377,0,0,-1,0,3,0|3|4
59,54,155,0,95.04250382018105,19.369899923585304,0,0,-1,0,3,1|4|2
60,571,426,0,207.59434573170813,95.3262893668039,0,0,-1,0,3,4|5|1
61,453,304,0,198.5063562708978,72.54924176866565,0,0,-1,0,3,4|3|2
62,101,212,0,250.1303522253082,82.64709509112403,0,0,-1,0,3,5|1|2
63,177,565,0,111.03985139341344,54.936932992602934,0,0,-1,0,3,0|1|5
64,640,603,0,149.35800341608203,22.625393270715033,0,0,-1,0,3,5|1|3
65,314,609,0,116.08446585909007,58.30687935411112,0,0,-1,0,3,5|4|2
66,311,716,0,167.19800512839663,58.15347499287578,0,0,-1,0,3,3|2|5
67,234,690,0,145.5835030563953,119.95296585651965,0,0,-1,0,3,4|5|0
68,452,284,0,213.445333281076,79.82631913994956,0,0,-1,0,3,1|4|3
69,107,164,0,142.72019581080502,41.70395748976013,0,0,-1,0,3,2|3|4
70,563,37,0,112.3693527565151,37.76387360364285,0,0,-1,0,3,3|0|2
71,413,526,0,53.803048035672646,55.45723278792536,0,0,-1,0,3,0|4|3
72,562,134,0,243.45147035080996,23.356869169888185,0,0,-1,0,3,2|3|4
73,623,245,0,126.04683433950676,70.59229077029369,0,0,-1,0,3,5|1|2
74,95,230,0,70.21551059679138,81.24806576621346,0,0,-1,0,3,0|3|5
75,483,249,0,106.66766444247236,52.19446145718649,0,0,-1,0,3,3|4|1
76,329,193,0,252.34809712115745,35.69186906636824,0,0,-1,0,3,5|1|3
77,604,339,0,98.32927419834837,67.85461954883175,0,0,-1,0,3,0|3|5
78,36,632,0,151.7678530490338,119.71685152518369,0,0,-1,0,3,0|1|2
79,306,29,0,140.62638874727807,42.27045535617297,0,0,-1,0,3,0|2|5
80,597,146,0,169.76112739048844,60.55275490944041,0,0,-1,0,3,1|3|2
81,476,294,0,158.2501456874911,18.12480903111603,0,0,-1,0,3,5|4|1
82,674,405,0,159.02090873801538,110.16786490905815,0,0,-1,0,3,2|0|4
83,635,256,0,166.41016686020797,109.37440744802646,0,0,-1,0,3,5|1|0
84,316,451,0,165.3246299713055,90.55957447331622,0,0,-1,0,3,0|4|2
85,552,374,0,183.28187674012008,101.35198815241371,0,0,-1,0,3,4|5|2
86,493,302,0,115.43536083634149,61.51645277379649,0,0,-1,0,3,5|2|0
87,231,692,0,130.81932148011376,19.933316312544164,0,0,-1,0,3,5|3|2
88,270,549,0,179.66440310481067,84.0111220061129,0,0,-1,0,3,0|3|2
89,598,390,0,120.93229297689089,84.23202109128542,0,0,-1,0,3,5|2|0
90,634,574,0,172.83702524347638,81.24176187033856,0,0,-1,0,3,2|4|1
91,38,311,0,119.55755236570678,35.8280035674462,0,0,-1,0,3,3|0|4
92,397,464,0,134.03145170445748,74.60743801034683,0,0,-1,0,3,2|4|3
93,286,33,0,188.38937403231085,58.77213946667718,0,0,-1,0,3,5|2|1
94,282,194,0,207.6058340132382,82.90456118681757,0,0,-1,0,3,0|3|5
95,578,210,0,108.17222712735536,74.5021391939718,0,0,-1,0,3,0|4|1
96,238,336,0,174.33613064164993,40.500233057325126,0,0,-1,0,3,1|4|0
97,133,553,0,166.758199493484,82.71634068570485,0,0,-1,0,3,2|1|0
98,15,366,0,132.74185203454084,11.735919186227628,0,0,-1,0,3,1|4|2
99,370,525,0,84.92182959300825,65.42225587644035,0,0,-1,0,3,4|0|3
100,44,744,0,141.9151286677764,60.38467743074502,0,0,-1,0,3,5|4|2
101,611,543,0,135.69342257023928,20.90963078469462,0,0,-1,0,3,2|3|4
102,670,666,0,144.62339741893598,59.671040756180965,0,0,-1,0,3,4|1|3
103,320,681,0,202.86631853001413,85.55031390136743,0,0,-1,0,3,2|5|1
104,93,87,0,28.444960874670176,91.90478661110669,0,0,-1,0,3,0|3|5
105,420,362,0,154.22960730517093,116.52384878426219,0,0,-1,0,3,5|3|0
106,360,106,0,179.94050616803594,27.020319344408758,0,0,-1,0,3,4|5|1
107,673,710,0,125.16017293916899,40.05974275839973,0,0,-1,0,3,2|0|1
108,347,359,0,145.95104174337115,72.29532042375139,0,0,-1,0,3,0|1|4
109,145,648,0,171.27028545273163,51.381384627383746,0,0,-1,0,3,0|5|1
110,161,378,0,91.53750408717617,107.16764029701777,0,0,-1,0,3,2|5|0
111,632,50,0,144.05224177534853,58.742427176335866,0,0,-1,0,3,5|0|2
112,607,498,0,141.0136227320855,34.25702790527771,0,0,-1,0,3,4|2|0
113,56,7,0,214.66459017483055,94.40844800394645,0,0,-1,0,3,1|2|5
114,296,335,0,131.78423893321076,92.17155357727447,0,0,-1,0,3,0|5|3
115,389,545,0,220.01578768831098,17.92830462513736,0,0,-1,0,3,5|1|2
116,589,439,0,207.78749862244868,41.8466726144334,0,0,-1,0,3,4|3|5
117,332,175,0,201.73402955144337,19.694286942767313,0,0,-1,0,3,4|3|2
118,317,347,0,201.81924659726414,18.40173152203233,0,0,-1,0,3,1|2|5
119,646,310,0,197.77761096915978,48.71364448820842,0,0,-1,0,3,2|4|0
120,78,660,0,95.78041298659339,60.89828248199995,0,0,-1,0,3,0|4|3
121,42,460,0,137.79859853989507,76.55064174770706,0,0,-1,0,3,4|1|2
122,176,40,0,132.41766171229833,67.64754084871919,0,0,-1,0,3,1|3|4
123,372,381,0,153.45329624325615,95.1911267431109,0,0,-1,0,3,2|3|4
124,53,646,0,123.67269281558652,46.26598306295017,0,0,-1,0,3,5|2|0
125,395,290,0,177.30901679523686,46.66982396666123,0,0,-1,0,3,2|4|1
126,86,317,0,131.73322706691596,99.45032621962811,0,0,-1,0,3,4|3|2
127,316,184,0,161.52235801459003,31.12057570308249,0,0,-1,0,3,1|2|3
128,632,134,0,196.397732830875,27.847193329729556,0,0,-1,0,3,4|3|1
129,639,169,0,167.25264969456765,55.19444726461868,0,0,-1,0,3,5|3|0
130,243,454,0,142.67890434165935,35.74032387689669,0,0,-1,0,3,4|2|3
131,480,198,0,184.00643608857325,60.78479762850881,0,0,-1,0,3,2|4|3
132,619,141,0,287.5383711198752,106.15286395574607,0,0,-1,0,3,2|0|3
133,105,728,0,96.42128427545947,19.22626379089691,0,0,-1,0,3,4|0|2
134,514,382,0,116.18392555837656,51.240394075954434,0,0,-1,0,3,1|3|0
135,101,731,0,121.87049721526219,25.135954649845885,0,0,-1,0,3,5|2|1
136,81,19,0,113.83490710890378,70.3684669988219,0,0,-1,0,3,2|1|4
137,540,433,0,198.22287857441697,43.1266314044842,0,0,-1,0,3,0|2|1
138,429,654,0,192.96978684001877,22.19436848190165,0,0,-1,0,3,4|3|0
139,298,439,0,212.4959425998472,36.46206626871979,0,0,-1,0,3,0|4|2
140,538,557,0,92.15700962304439,52.94991058160705,0,0,-1,0,3,4|5|0
141,650,396,0,217.0376219458281,49.28032641662062,0,0,-1,0,3,2|5|0
142,360,559,0,123.33124278307938,117.89011043677343,0,0,-1,0,3,2|1|3
143,44,204,0,82.61735088964195,66.69219481799487,0,0,-1,0,3,0|2|4
144,48,671,0,124.5385956916786,97.92766526700636,0,0,-1,0,3,2|5|0
145,409,450,0,144.84521179873644,64.58235491907249,0,0,-1,0,3,3|2|1
146,531,273,0,201.42510325753048,57.36678672037916,0,0,-1,0,3,0|3|5
147,184,558,0,149.50603945261372,18.807580218249477,0,0,-1,0,3,2|5|0
148,313,456,0,228.0913148883311,85.87412892900349,0,0,-1,0,3,4|3|1
149,695,163,0,169.06367159215222,13.827886237839623,0,0,-1,0,3,0|1|3
150,695,460,0,121.1893747322374,93.93929189784375,0,0,-1,0,3,2|5|3
151,542,375,0,194.6734046038336,37.45728184027377,0,0,-1,0,3,3|2|4
152,753,190,0,220.29284538281533,110.48967563945052,0,0,-1,0,3,3|4|5
153,502,204,0,94.1371636590984,59.72469537699371,0,0,-1,0,3,0|1|5
154,455,89,0,182.38985138221074,88.0494535501547,0,0,-1,0,3,5|2|4
155,297,307,0,170.2406024214769,65.96313196917308,0,0,-1,0,3,1|5|2
156,205,142,0,168.15075111771796,49.69861768888204,0,0,-1,0,3,1|3|0
157,478,564,0,101.45249745419653,17.23229157941027,0,0,-1,0,3,1|4|0
158,588,75,0,81.80616730124967,59.49719452292957,0,0,-1,0,3,1|2|0
159,352,131,0,125.9084824447904,94.45598010934224,0,0,-1,0,3,4|5|1
160,514,56,0,206.26332274095472,43.45369970882146,0,0,-1,0,3,0|4|1
161,726,230,0,118.80171881671143,103.05270767714522,0,0,-1,0,3,2|4|5
162,639,737,0,182.803828246011,100.77598940592952,0,0,-1,0,3,4|2|0
163,46,656,0,135.03038112744198,94.36549010079422,0,0,-1,0,3,4|2|1
164,705,61,0,132.9413216466877,63.26762431180951,0,0,-1,0,3,1|3|4
165,133,379,0,115.85184036735343,45.1027475043473,0,0,-1,0,3,4|5|0
166,273,460,0,198.25847661106295,15.56658209803193,0,0,-1,0,3,1|5|0
167,630,428,0,197.55077764464284,112.71266887743452,0,0,-1,0,3,1|5|2
168,194,163,0,173.49372339481442,64.86356792374195,0,0,-1,0,3,3|4|5
169,110,441,0,110.38239624998225,94.02424405781885,0,0,-1,0,3,1|2|4
170,295,75,0,156.4722030087834,94.08445261779636,0,0,-1,0,3,3|4|5
171,203,616,0,69.126975975667,14.98336877137822,0,0,-1,0,3,4|3|0
172,527,143,0,195.32178153279767,27.875225046463335,0,0,-1,0,3,2|4|5
173,306,607,0,151.15680799691089,87.96137870789816,0,0,-1,0,3,2|4|3
174,17,377,0,150.20227111541809,74.2072356033665,0,0,-1,0,3,2|0|3
175,671,592,0,120.79670065742869,74.18756047524039,0,0,-1,0,3,4|1|0
176,644,738,0,231.22232410920296,100.38274202406375,0,0,-1,0,3,4|3|1
177,586,717,0,179.35412944588535,58.51424228032062,0,0,-1,0,3,0|1|5
178,422,707,0,192.39671407761992,106.00994798035524,0,0,-1,0,3,1|3|4
179,738,697,0,239.0044028649093,31.149058605038473,0,0,-1,0,3,5|2|3
180,706,721,0,122.72584204230384,48.36834916214372,0,0,-1,0,3,3|2|5
181,404,353,0,156.34211333506434,41.639337577555395,0,0,-1,0,3,1|2|0
182,600,245,0,96.74779793515219,80.17390307495015,0,0,-1,0,3,1|0|5
183,423,338,0,134.2339765183191,84.93111852395732,0,0,-1,0,3,5|3|0
184,563,161,0,62.0340161568265,81.55925610616919,0,0,-1,0,3,3|5|4
185,294,328,0,172.01535593306053,81.75286034609876,0,0,-1,0,3,2|0|4
186,37,406,0,136.34679045070655,106.44174847097158,0,0,-1,0,3,3|1|2
187,656,556,0,185.3520389874557,103.61657124357963,0,0,-1,0,3,4|3|1
188,197,115,0,146.15456092289367,81.31138725801658,0,0,-1,0,3,2|1|3
189,654,415,0,146.73459356476118,19.54115468331915,0,0,-1,0,3,3|4|2
190,63,683,0,153.00179256866855,27.568850775031947,0,0,-1,0,3,0|3|2
191,720,318,0,156.7539338510054,50.42982934123872,0,0,-1,0,3,5|0|2
192,136,489,0,146.65456004420668,55.743017697434716,0,0,-1,0,3,1|3|2
193,482,550,0,130.1184210610951,84.83761119113377,0,0,-1,0,3,5|1|4
194,3,223,0,159.0401443809261,56.60671232564877,0,0,-1,0,3,4|0|5
195,391,459,0,110.46146060506845,85.10033895116955,0,0,-1,0,3,3|5|0
196,552,136,0,185.8254038566479,29.632099190452283,0,0,-1,0,3,5|2|0
197,305,474,0,218.0055961949543,68.51269693464346,0,0,-1,0,3,5|4|3
198,742,115,0,161.17611758366843,36.473292355753316,0,0,-1,0,3,0|3|5
199,608,34,0,157.78234564565386,36.92075663402318,0,0,-1,0,3,3|4|0
200,296,239,0,109.31426031556448,73.52222961016702,0,0,-1,0,3,5|4|2
201,437,569,0,205.88996201948186,113.5745050815103,0,0,-1,0,3,3|0|2
202,537,326,0,128.2232053511378,26.413936860768004,0,0,-1,0,3,5|3|4
203,147,474,0,186.3816947896857,116.45648074012894,0,0,-1,0,3,0|4|3
204,137,397,0,158.616827989017,46.328929298651545,0,0,-1,0,3,1|2|5
205,460,379,0,190.79118950733888,15.669029202541518,0,0,-1,0,3,0|4|1
206,601,741,0,124.98832731708067,62.73336271180063,0,0,-1,0,3,5|4|1
207,340,310,0,213.8765585802454,115.82853117259049,0,0,-1,0,3,0|1|4
208,490,248,0,131.8983742521511,53.62952657538585,0,0,-1,0,3,5|4|1
209,739,480,0,175.74608580803357,44.42142207572101,0,0,-1,0,3,2|1|5
210,200,337,0,172.14840995258558,64.92316306062547,0,0,-1,0,3,1|3|5
211,750,360,0,205.9378997896405,30.245255014739424,0,0,-1,0,3,1|5|3
212,657,60,0,167.49929269636522,113.9706922320988,0,0,-1,0,3,4|0|5
213,6,422,0,97.02983779047409,87.78865200738058,0,0,-1,0,3,1|5|0
214,517,466,0,109.82726885893248,82.5212776188849,0,0,-1,0,3,2|0|3
215,544,564,0,118.65143609309098,68.23594115258157,0,0,-1,0,3,3|0|4
216,293,17,0,151.0028673251599,21.771807156394217,0,0,-1,0,3,4|3|1
217,273,406,0,100.1594722723528,60.48975201063036,0,0,-1,0,3,0|2|3
218,713,231,0,136.36442131197288,20.285055596982033,0,0,-1,0,3,2|0|4
219,76,700,0,95.84029280282518,29.728995354207598,0,0,-1,0,3,2|4|0
220,16,212,0,267.8939198317247,112.17624342786613,0,0,-1,0,3,4|1|3
221,577,246,0,176.8800179986652,52.22308354911967,0,0,-1,0,3,4|3|2
222,334,30,0,222.13842646133887,63.96638017218726,0,0,-1,0,3,5|2|3
223,384,442,0,156.53173798943254,19.42635294004093,0,0,-1,0,3,1|4|3
224,252,730,0,118.50178935116104,26.964306025207026,0,0,-1,0,3,0|5|2
225,649,157,0,195.78344148769295,49.67702509254665,0,0,-1,0,3,5|3|2
226,315,455,0,176.81567780252348,24.575770494361933,0,0,-1,0,3,2|5|0
227,91,362,0,122.43816918743009,105.00899949950107,0,0,-1,0,3,4|0|2
228,423,397,0,197.3917116954947,72.91564738244935,0,0,-1,0,3,0|4|1
