DemandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOptCost,SfcNum,SfcRequest
0,27,122,0,59.5039515802565,51.792003070107114,0,0,-1,0,3,2|0|4
1,44,77,0,58.463835655808836,68.98509006001709,0,0,-1,0,3,2|0|3
2,48,10,0,54.17140580309576,73.50873597824383,0,0,-1,0,3,4|2|5
3,5,84,0,54.298193074009944,104.08494931166616,0,0,-1,0,3,1|2|0
4,48,35,0,52.80582052396841,50.71990638285709,0,0,-1,0,3,3|2|1
5,81,88,0,47.973014765765214,102.71371122087905,0,0,-1,0,3,4|1|2
6,31,95,0,66.16191793576475,92.17151928174837,0,0,-1,0,3,4|5|2
7,74,51,0,44.024668037810486,66.0478923044111,0,0,-1,0,3,2|1|4
8,6,110,0,58.11845793549591,97.12873007992606,0,0,-1,0,3,0|1|4
9,8,49,0,64.58551696777816,68.20257796090507,0,0,-1,0,3,3|4|5
10,13,111,0,60.95402931290808,26.81231954045983,0,0,-1,0,3,5|2|1
11,14,118,0,80.8068748714547,16.37176831436063,0,0,-1,0,3,2|5|1
12,121,10,0,66.54170764216362,117.57829430450676,0,0,-1,0,3,0|3|5
13,16,84,0,77.00897828352585,39.1562291834065,0,0,-1,0,3,3|4|1
14,54,123,0,57.2212850158612,88.4243870101034,0,0,-1,0,3,1|4|5
15,4,110,0,39.61539087417254,40.63249903610017,0,0,-1,0,3,2|0|1
16,69,16,0,75.6716261796127,36.729696663529694,0,0,-1,0,3,5|4|3
17,52,24,0,63.41168581672608,48.97273232485092,0,0,-1,0,3,0|5|3
18,110,93,0,56.8985561986542,54.288341031249566,0,0,-1,0,3,0|5|4
19,110,13,0,56.00642412697946,68.99143293013788,0,0,-1,0,3,1|5|4
20,23,35,0,64.92348175522297,58.744381955880264,0,0,-1,0,3,3|1|0
21,70,12,0,71.85263488532438,116.58958830132264,0,0,-1,0,3,0|4|5
22,108,30,0,59.56502792659807,62.94942597681435,0,0,-1,0,3,1|3|4
23,93,100,0,62.4338277254654,30.888765399440086,0,0,-1,0,3,4|3|1
24,7,74,0,50.72152182778572,92.27731164169705,0,0,-1,0,3,5|4|0
25,74,61,0,51.98258513076263,16.256753770155296,0,0,-1,0,3,4|5|1
26,108,23,0,75.81259045717519,84.27338089644992,0,0,-1,0,3,0|4|5
27,15,120,0,79.73884251039584,78.13196613653135,0,0,-1,0,3,4|1|0
28,74,72,0,30.746243654225776,32.46851193658901,0,0,-1,0,3,4|2|5
29,30,33,0,56.92288704979036,60.29470298274972,0,0,-1,0,3,3|1|2
30,119,9,0,44.48985689930885,18.05867932095963,0,0,-1,0,3,0|3|5
31,20,56,0,67.71559638254715,83.46495240838419,0,0,-1,0,3,4|2|0
32,13,95,0,62.246434016742626,40.993189860368375,0,0,-1,0,3,4|1|2
33,43,26,0,90.71276114062935,37.62333772768835,0,0,-1,0,3,5|2|3
34,42,98,0,75.52364131400722,91.53539991827239,0,0,-1,0,3,1|2|5
35,54,71,0,34.501907682542466,113.9556032951303,0,0,-1,0,3,0|5|4
36,5,39,0,59.656691533755165,33.10841921737294,0,0,-1,0,3,2|0|5
37,13,45,0,60.698029809602076,111.83402048265123,0,0,-1,0,3,4|3|1
38,89,13,0,79.65275679321537,34.467708930023086,0,0,-1,0,3,3|0|5
