LinkID,SourceID,DestinationID,Peer ID,Cost,Bandwidth,Delay,SRLGNum,SRLGs
0,0,8,0,52,1200,4.532639422178934,0,
1,8,0,0,93,1200,4.790050504432496,0,
2,0,10,0,15,1200,2.2112483925486317,0,
3,10,0,0,72,1200,2.6267561528460805,0,
4,1,91,0,61,1200,4.013430550472152,0,
5,91,1,0,21,1200,3.0759403438884916,0,
6,1,126,0,83,1200,2.7624909472092165,0,
7,126,1,0,87,1200,2.885871765256816,0,
8,1,126,0,75,1200,2.9676522927158016,0,
9,126,1,0,75,1200,4.546009384774023,0,
10,2,3,0,88,1200,2.4098639943260864,0,
11,3,2,0,24,1200,4.126732990730356,0,
12,2,5,0,3,1200,3.658459930723723,0,
13,5,2,0,22,1200,2.8895304309433953,0,
14,3,49,0,53,1200,3.2593425693388296,0,
15,49,3,0,2,1200,2.768620830783374,0,
16,4,5,0,88,1200,3.8345411325970415,0,
17,5,4,0,30,1200,2.244782541200721,0,
18,5,8,0,38,1200,2.0155545883219603,0,
19,8,5,0,2,1200,3.8836832448459084,0,
20,5,6,0,64,1200,2.582821860536127,0,
21,6,5,0,60,1200,2.212822750999783,0,
22,6,7,0,21,1200,3.190351481641665,0,
23,7,6,0,33,1200,2.1523055931181907,0,
24,7,9,0,76,1200,4.659851446851979,0,
25,9,7,0,58,1200,2.0828503156211142,0,
26,9,18,0,22,1200,3.7365946865226762,0,
27,18,9,0,89,1200,3.315422369054261,0,
28,9,19,0,49,1200,4.016078405885598,0,
29,19,9,0,91,1200,2.984458002424196,0,
30,10,13,0,59,1200,2.4651248501832326,0,
31,13,10,0,42,1200,4.945522664931593,0,
32,11,16,0,92,1200,4.5168005062080905,0,
33,16,11,0,60,1200,4.581213854935026,0,
34,11,17,0,80,1200,2.7507540815475924,0,
35,17,11,0,15,1200,2.1165042032882697,0,
36,11,12,0,62,1200,2.9097965440196685,0,
37,12,11,0,62,1200,3.611247281589966,0,
38,11,31,0,47,1200,2.9799537253881225,0,
39,31,11,0,62,1200,4.483607011362766,0,
40,12,13,0,51,1200,2.8146287474592255,0,
41,13,12,0,55,1200,4.895755491172309,0,
42,12,30,0,64,1200,3.3717954848411855,0,
43,30,12,0,3,1200,4.526069225035944,0,
44,14,35,0,51,1200,2.583140101984619,0,
45,35,14,0,7,1200,3.2340617151700357,0,
46,14,30,0,21,1200,4.098536632301581,0,
47,30,14,0,73,1200,2.415059277253404,0,
48,15,18,0,39,1200,2.3982362667289094,0,
49,18,15,0,18,1200,4.9086106013424775,0,
50,15,19,0,4,1200,4.1437853125398565,0,
51,19,15,0,89,1200,2.1232025503036276,0,
52,15,71,0,60,1200,3.1964627043343836,0,
53,71,15,0,14,1200,3.3005622127422263,0,
54,16,17,0,9,1200,4.232127928997346,0,
55,17,16,0,90,1200,2.7525815820399835,0,
56,19,119,0,53,1200,2.5530010229941102,0,
57,119,19,0,2,1200,2.242618899851593,0,
58,20,26,0,84,1200,3.284943424820323,0,
59,26,20,0,92,1200,4.0654997022960995,0,
60,20,52,0,60,1200,2.174580786525331,0,
61,52,20,0,71,1200,4.745641182879441,0,
62,20,21,0,44,1200,3.3270566891933133,0,
63,21,20,0,8,1200,2.71936207747221,0,
64,21,25,0,47,1200,2.2816198702438752,0,
65,25,21,0,35,1200,2.548597991321922,0,
66,22,23,0,78,1200,4.803841992019129,0,
67,23,22,0,81,1200,3.914811781530051,0,
68,22,37,0,36,1200,3.5500887722797,0,
69,37,22,0,50,1200,3.9713339855005003,0,
70,22,29,0,4,1200,3.307018696033673,0,
71,29,22,0,2,1200,4.1901179496854555,0,
72,23,25,0,6,1200,2.1431483830749465,0,
73,25,23,0,54,1200,3.698111631482229,0,
74,23,54,0,4,1200,2.475939342927473,0,
75,54,23,0,54,1200,2.3604939434169268,0,
76,24,25,0,93,1200,3.0256390001492046,0,
77,25,24,0,63,1200,2.2753971974403258,0,
78,24,27,0,18,1200,2.2824709648056802,0,
79,27,24,0,90,1200,2.9342399281738825,0,
80,24,76,0,44,1200,4.938531585864526,0,
81,76,24,0,34,1200,2.5259908096680155,0,
82,25,29,0,74,1200,2.0514833054952506,0,
83,29,25,0,62,1200,4.290093269011733,0,
84,25,84,0,14,1200,4.420738931152338,0,
85,84,25,0,95,1200,3.0389129632682024,0,
86,26,81,0,48,1200,3.394021438818834,0,
87,81,26,0,15,1200,3.94932104792829,0,
88,27,81,0,72,1200,2.144176772591101,0,
89,81,27,0,78,1200,4.847437194774158,0,
90,28,37,0,87,1200,4.660041161894142,0,
91,37,28,0,62,1200,2.7826808700251418,0,
92,31,34,0,40,1200,2.045913620871154,0,
93,34,31,0,85,1200,4.800308924238449,0,
94,32,129,0,80,1200,3.5031196517457777,0,
95,129,32,0,82,1200,3.6181323452001877,0,
96,32,130,0,53,1200,4.051891308194423,0,
97,130,32,0,24,1200,3.8475534931697415,0,
98,32,131,0,26,1200,4.831674813682271,0,
99,131,32,0,89,1200,4.832754791375502,0,
100,32,117,0,60,1200,4.601596800665011,0,
101,117,32,0,41,1200,3.9092107923380337,0,
102,33,117,0,29,1200,4.402847884047199,0,
103,117,33,0,15,1200,4.031505027148945,0,
104,33,38,0,45,1200,3.7201011250158,0,
105,38,33,0,65,1200,2.3855010597017303,0,
106,34,60,0,89,1200,4.433612530208009,0,
107,60,34,0,71,1200,4.461918427231867,0,
108,35,68,0,9,1200,3.8778190103047185,0,
109,68,35,0,88,1200,4.461280531313804,0,
110,36,37,0,1,1200,3.954454315573364,0,
111,37,36,0,8,1200,2.620053079630236,0,
112,36,39,0,88,1200,2.821883381963401,0,
113,39,36,0,63,1200,2.6437673591251225,0,
114,37,74,0,11,1200,3.1317772496839273,0,
115,74,37,0,81,1200,2.1168893969307008,0,
