DemandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOptCost,SfcNum,SfcRequest
0,87,82,0,117.61374678440227,68.75538647326789,0,0,-1,0,3,0|4|1
1,14,46,0,157.99120014634892,36.49587516919564,0,0,-1,0,3,2|1|0
2,28,8,0,113.16579749427088,74.72841258513861,0,0,-1,0,3,2|0|1
3,61,27,0,122.39253618006337,51.68704308746077,0,0,-1,0,3,3|0|1
4,38,78,0,151.0006353259693,83.46495240838419,0,0,-1,0,3,5|4|0
5,6,11,0,38.17080180881557,14.849543797895503,0,0,-1,0,3,5|3|2
6,13,48,0,156.31888090705186,31.953011302832707,0,0,-1,0,3,0|3|1
7,51,42,0,92.0070907954581,48.626074199102746,0,0,-1,0,3,2|0|5
8,65,14,0,167.19994513761736,38.01947567524401,0,0,-1,0,3,3|4|1
9,59,53,0,151.06357209352066,52.84244939336354,0,0,-1,0,3,0|1|3
10,72,27,0,161.8618816889802,28.45680577045825,0,0,-1,0,3,3|2|4
11,62,13,0,136.48200773803762,87.80395080766846,0,0,-1,0,3,3|2|5
12,30,60,0,160.49094487629625,97.22261549455492,0,0,-1,0,3,5|3|4
13,75,67,0,141.67052777788564,101.58911996597747,0,0,-1,0,3,4|2|0
14,1,73,0,130.003957483729,58.45156779496113,0,0,-1,0,3,2|3|4
15,6,32,0,89.03353128519902,54.07781864771337,0,0,-1,0,3,3|0|4
16,38,10,0,153.61664661570646,76.6949416367259,0,0,-1,0,3,1|0|3
17,59,38,0,170.6440481765898,65.05193948297182,0,0,-1,0,3,5|3|2
18,36,84,0,133.46826658687442,60.03084994619024,0,0,-1,0,3,3|4|0
19,69,59,0,132.8818585556161,67.02833317068016,0,0,-1,0,3,3|0|1
20,63,80,0,150.41367285467763,39.37618621002257,0,0,-1,0,3,3|0|1
21,57,68,0,129.90226874954539,70.7109158777892,0,0,-1,0,3,3|2|4
22,52,5,0,151.83937569268994,52.46866277400806,0,0,-1,0,3,2|3|4
23,81,12,0,175.06544456978338,109.37664682555345,0,0,-1,0,3,3|1|2
24,1,59,0,166.83182006068424,18.12480903111603,0,0,-1,0,3,2|4|1
25,63,36,0,145.2508618545666,34.0904992820916,0,0,-1,0,3,1|4|2
26,16,11,0,75.060783033724,29.32040774887373,0,0,-1,0,3,2|5|3
27,14,17,0,140.91578519539104,119.55201122305324,0,0,-1,0,3,0|5|2
28,76,2,0,161.64758683926325,118.77029943355639,0,0,-1,0,3,0|2|1
29,67,14,0,163.87405197137232,59.310273569687254,0,0,-1,0,3,5|0|3
30,12,40,0,125.58211433165472,51.17311257790905,0,0,-1,0,3,3|2|4
31,39,43,0,160.05218036236465,105.68489771900819,0,0,-1,0,3,2|0|1
32,63,55,0,157.23323011627403,68.58405826541662,0,0,-1,0,3,1|5|3
33,51,67,0,140.61910895374345,92.03853091110632,0,0,-1,0,3,0|3|2
34,72,82,0,141.100140569609,105.06715623145578,0,0,-1,0,3,5|4|2
35,70,5,0,184.91555148347962,45.36794391684712,0,0,-1,0,3,3|4|1
36,82,42,0,117.8746427839835,71.37595336602425,0,0,-1,0,3,0|2|5
37,32,84,0,95.50417422310008,18.965218619267233,0,0,-1,0,3,4|1|2
38,86,30,0,202.6742078048236,92.76302816226345,0,0,-1,0,3,3|4|2
39,37,54,0,168.93920011177957,36.46206626871979,0,0,-1,0,3,0|4|2
40,69,64,0,173.2411032759676,52.94991058160705,0,0,-1,0,3,4|5|0
41,5,40,0,203.68458548025217,118.80349725257358,0,0,-1,0,3,2|4|3
42,32,4,0,165.96348239934682,49.267159363889974,0,0,-1,0,3,5|1|2
43,83,42,0,115.55039754634484,58.064652143743004,0,0,-1,0,3,2|0|5
44,47,66,0,147.96633116091817,18.681970666101467,0,0,-1,0,3,2|0|3
45,56,44,0,111.30203446245085,77.63366304186407,0,0,-1,0,3,3|0|2
46,81,7,0,122.22963147606411,66.43946214110073,0,0,-1,0,3,0|3|2
47,72,4,0,103.30880192488496,114.37058821921121,0,0,-1,0,3,4|1|3
48,33,57,0,160.49619067178028,86.33787051448732,0,0,-1,0,3,1|4|2
49,81,22,0,122.32777255285922,23.34987005863026,0,0,-1,0,3,2|4|1
50,17,30,0,128.1711927951389,70.94235809855546,0,0,-1,0,3,3|0|2
51,61,67,0,117.23299273365929,23.78594604851134,0,0,-1,0,3,3|5|0
52,73,33,0,180.77636121112693,77.99192689574534,0,0,-1,0,3,5|1|3
53,59,15,0,182.2077806353757,25.496539850900184,0,0,-1,0,3,2|3|1
54,59,63,0,167.51805732826222,19.905400454816277,0,0,-1,0,3,2|3|0
55,83,74,0,123.62265095383786,74.18756047524039,0,0,-1,0,3,4|1|0
56,17,0,0,172.7351522115378,81.81820774714298,0,0,-1,0,3,4|1|3
57,4,22,0,140.02639685435457,119.6888983397361,0,0,-1,0,3,3|1|0
58,81,51,0,233.8906058130916,19.54115468331915,0,0,-1,0,3,3|4|2
59,15,59,0,241.20605782568586,85.46809818802215,0,0,-1,0,3,2|1|3
60,74,9,0,42.00656149237913,87.04233659068935,0,0,-1,0,3,0|3|2
61,48,57,0,141.70477132212,85.10033895116955,0,0,-1,0,3,3|5|0
62,29,31,0,106.41778329278823,40.321470057464005,0,0,-1,0,3,3|2|1
63,8,12,0,143.02229180509758,75.75633864047079,0,0,-1,0,3,4|0|3
64,7,71,0,173.86378357427404,71.14357325820839,0,0,-1,0,3,4|1|3
65,7,71,0,121.65795841640596,52.7260953688207,0,0,-1,0,3,3|5|1
66,42,38,0,139.18809369307886,115.82853117259049,0,0,-1,0,3,0|1|4
67,2,0,0,146.4828993456491,11.303606494068168,0,0,-1,0,3,4|5|3
68,10,47,0,107.03155989263989,118.92563348037001,0,0,-1,0,3,3|5|1
69,48,70,0,148.09436692718145,87.31296650210167,0,0,-1,0,3,3|0|4
70,55,82,0,121.02398407743101,108.42703333569698,0,0,-1,0,3,2|4|0
71,45,70,0,171.98737183204278,84.76643438969748,0,0,-1,0,3,3|5|1
72,1,37,0,97.21535342041778,89.73282284382704,0,0,-1,0,3,3|5|0
73,34,38,0,208.15777145222498,16.959386530464982,0,0,-1,0,3,2|3|1
74,25,61,0,134.7223826165172,116.5597743921365,0,0,-1,0,3,2|1|3
75,82,86,0,184.28233786051572,116.22884554852111,0,0,-1,0,3,5|3|2
76,10,14,0,177.67027237206273,44.30793782872956,0,0,-1,0,3,5|1|2
77,26,66,0,191.9853688851574,20.73853342382798,0,0,-1,0,3,3|2|5
78,31,66,0,175.37757266097378,46.40886211084861,0,0,-1,0,3,1|4|5
79,44,45,0,176.81709556995202,99.51120796870272,0,0,-1,0,3,3|4|1
80,65,49,0,148.364792932373,73.2286649361856,0,0,-1,0,3,3|4|1
81,1,62,0,124.70055201886119,116.02119983564339,0,0,-1,0,3,1|5|3
82,41,31,0,175.83693674228462,25.63887963829046,0,0,-1,0,3,5|3|4
83,62,41,0,166.8114863609586,90.40251312357583,0,0,-1,0,3,4|0|5
84,54,27,0,84.71164411186781,101.11779787536888,0,0,-1,0,3,3|2|4
85,73,16,0,136.00831969665634,108.35701238424116,0,0,-1,0,3,4|3|2
86,28,66,0,136.051282561391,10.886882592109448,0,0,-1,0,3,5|3|0
87,77,65,0,188.0068279885428,81.07867521049532,0,0,-1,0,3,1|3|2
88,30,63,0,188.49893384047144,64.95407953999234,0,0,-1,0,3,3|0|1
89,64,53,0,116.47666528146004,80.4591017143587,0,0,-1,0,3,3|5|0
90,46,7,0,174.90491575278847,50.44565556424929,0,0,-1,0,3,3|4|1
91,31,53,0,168.28229759538877,100.85966951077862,0,0,-1,0,3,5|2|4
92,15,64,0,163.87788856682587,34.5503567045717,0,0,-1,0,3,5|0|1
93,5,51,0,84.02020002724637,95.0880227456474,0,0,-1,0,3,0|3|2
94,11,70,0,101.68491023121959,32.07382687982514,0,0,-1,0,3,3|0|2
95,38,79,0,172.334652718253,75.08600284832978,0,0,-1,0,3,1|3|2
96,25,69,0,114.42100107935897,112.56372857916334,0,0,-1,0,3,1|5|0
97,30,53,0,151.98551525869595,88.2817722170113,0,0,-1,0,3,3|0|1
98,29,66,0,139.7298101889449,117.20102691850762,0,0,-1,0,3,3|2|5
99,82,10,0,124.00592765735428,110.91714396627381,0,0,-1,0,3,4|5|2
100,42,15,0,73.9303963885453,28.47881296019621,0,0,-1,0,3,0|3|5
101,50,63,0,116.13922389188924,29.00879330138681,0,0,-1,0,3,0|3|4
