LinkID,SourceID,DestinationID,Peer ID,Cost,Bandwidth,Delay,SRLGNum,SRLGs
0,0,176,0,52,1200,3.5500887722797,0,
1,176,0,0,93,1200,3.9713339855005003,0,
2,0,9,0,15,1200,3.307018696033673,0,
3,9,0,0,72,1200,4.1901179496854555,0,
4,1,8,0,61,1200,2.1431483830749465,0,
5,8,1,0,21,1200,3.698111631482229,0,
6,1,176,0,83,1200,2.475939342927473,0,
7,176,1,0,87,1200,2.3604939434169268,0,
8,1,114,0,75,1200,3.0256390001492046,0,
9,114,1,0,75,1200,2.2753971974403258,0,
10,1,116,0,88,1200,2.2824709648056802,0,
11,116,1,0,24,1200,2.9342399281738825,0,
12,1,175,0,3,1200,4.938531585864526,0,
13,175,1,0,22,1200,2.5259908096680155,0,
14,2,76,0,53,1200,2.0514833054952506,0,
15,76,2,0,2,1200,4.290093269011733,0,
16,2,77,0,88,1200,4.420738931152338,0,
17,77,2,0,30,1200,3.0389129632682024,0,
18,3,4,0,38,1200,3.394021438818834,0,
19,4,3,0,2,1200,3.94932104792829,0,
20,3,77,0,64,1200,2.144176772591101,0,
21,77,3,0,60,1200,4.847437194774158,0,
22,4,6,0,21,1200,4.660041161894142,0,
23,6,4,0,33,1200,2.7826808700251418,0,
24,4,135,0,76,1200,2.045913620871154,0,
25,135,4,0,58,1200,4.800308924238449,0,
26,5,131,0,22,1200,3.5031196517457777,0,
27,131,5,0,89,1200,3.6181323452001877,0,
28,5,6,0,49,1200,4.051891308194423,0,
29,6,5,0,91,1200,3.8475534931697415,0,
30,6,7,0,59,1200,4.831674813682271,0,
31,7,6,0,42,1200,4.832754791375502,0,
32,7,8,0,92,1200,4.601596800665011,0,
33,8,7,0,60,1200,3.9092107923380337,0,
34,7,174,0,80,1200,4.402847884047199,0,
35,174,7,0,15,1200,4.031505027148945,0,
36,8,194,0,62,1200,3.7201011250158,0,
37,194,8,0,62,1200,2.3855010597017303,0,
38,8,191,0,47,1200,4.433612530208009,0,
39,191,8,0,62,1200,4.461918427231867,0,
40,8,9,0,51,1200,3.8778190103047185,0,
41,9,8,0,55,1200,4.461280531313804,0,
42,10,11,0,64,1200,3.954454315573364,0,
43,11,10,0,3,1200,2.620053079630236,0,
44,10,13,0,51,1200,2.821883381963401,0,
45,13,10,0,7,1200,2.6437673591251225,0,
46,11,16,0,21,1200,3.1317772496839273,0,
47,16,11,0,73,1200,2.1168893969307008,0,
48,12,32,0,39,1200,3.8547616530136786,0,
49,32,12,0,18,1200,3.0096626446661796,0,
50,12,13,0,4,1200,3.9671679061422265,0,
51,13,12,0,89,1200,3.156189862896695,0,
52,12,30,0,60,1200,4.04484100691837,0,
53,30,12,0,14,1200,3.02187370839272,0,
54,13,16,0,9,1200,2.7820835847077094,0,
55,16,13,0,90,1200,3.4881123628802184,0,
56,13,15,0,53,1200,4.078671076075818,0,
57,15,13,0,2,1200,3.045009813359592,0,
58,14,64,0,84,1200,4.809944455567122,0,
59,64,14,0,92,1200,2.1175589800269385,0,
60,14,129,0,60,1200,3.2538380951467363,0,
61,129,14,0,71,1200,4.902741654560742,0,
62,14,15,0,44,1200,3.6439156497442617,0,
63,15,14,0,8,1200,3.2704128269243555,0,
64,16,17,0,47,1200,3.705560851249875,0,
65,17,16,0,35,1200,3.727773725774254,0,
66,18,19,0,78,1200,4.194943265898921,0,
67,19,18,0,81,1200,2.3830691882673967,0,
68,18,30,0,36,1200,2.750049347648314,0,
69,30,18,0,50,1200,3.7416320370317298,0,
70,19,89,0,4,1200,4.601349821629166,0,
71,89,19,0,2,1200,3.685600076431321,0,
72,19,68,0,6,1200,2.7157905793710206,0,
73,68,19,0,54,1200,4.0395343397007375,0,
74,19,82,0,4,1200,4.2197262813421235,0,
75,82,19,0,54,1200,2.7147084572119384,0,
76,20,21,0,93,1200,3.1331866585288846,0,
77,21,20,0,63,1200,3.6029824205916903,0,
78,20,23,0,18,1200,3.489683572049233,0,
79,23,20,0,90,1200,3.1688542586576105,0,
80,21,26,0,44,1200,2.892905523527933,0,
81,26,21,0,34,1200,2.2999546614855904,0,
82,22,188,0,74,1200,2.1604558902421065,0,
83,188,22,0,62,1200,4.875624490649595,0,
84,22,23,0,14,1200,4.541429432286769,0,
85,23,22,0,95,1200,3.0647155713881618,0,
86,24,27,0,48,1200,4.870402655379369,0,
87,27,24,0,15,1200,4.03030971327291,0,
88,25,171,0,72,1200,3.4475628489279275,0,
89,171,25,0,78,1200,3.479076973315415,0,
90,25,55,0,87,1200,2.249853233585779,0,
91,55,25,0,62,1200,2.2751124417754434,0,
92,26,27,0,40,1200,3.807322777703357,0,
93,27,26,0,85,1200,3.6611091570374024,0,
94,26,28,0,80,1200,2.6381836850726867,0,
95,28,26,0,82,1200,4.838583628645071,0,
96,26,29,0,53,1200,4.343888151413608,0,
97,29,26,0,24,1200,2.340393806052344,0,
98,28,51,0,26,1200,4.792787317061878,0,
99,51,28,0,89,1200,4.92274462560323,0,
100,28,54,0,60,1200,4.987793726090987,0,
101,54,28,0,41,1200,2.1676134640320504,0,
102,29,78,0,29,1200,4.211106670373026,0,
