LinkID,SourceID,DestinationID,Peer ID,Cost,Bandwidth,Delay,SRLGNum,SRLGs
0,4,18,0,52,1200,4.852142919229749,0,
1,18,4,0,52,1200,4.852142919229749,0,
2,16,18,0,72,1200,3.79597545259111,0,
3,18,16,0,72,1200,3.79597545259111,0,
4,18,21,0,83,1200,2.2999247474540088,0,
5,21,18,0,83,1200,2.2999247474540088,0,
6,14,21,0,75,1200,4.598528437324806,0,
7,21,14,0,75,1200,4.598528437324806,0,
8,11,14,0,24,1200,3.952665418846559,0,
9,14,11,0,24,1200,3.952665418846559,0,
10,1,14,0,53,1200,4.909729556485983,0,
11,14,1,0,53,1200,4.909729556485983,0,
12,4,14,0,30,1200,2.6370173320348282,0,
13,14,4,0,30,1200,2.6370173320348282,0,
14,0,4,0,64,1200,4.976634677873653,0,
15,4,0,0,64,1200,4.976634677873653,0,
16,4,7,0,33,1200,2.912726728878613,0,
17,7,4,0,33,1200,2.912726728878613,0,
18,3,16,0,22,1200,2.021198915659152,0,
19,16,3,0,22,1200,2.021198915659152,0,
20,6,21,0,89,1200,2.8736874205941256,0,
21,21,6,0,89,1200,2.8736874205941256,0,
22,6,13,0,59,1200,3.1995829151457666,0,
23,13,6,0,59,1200,3.1995829151457666,0,
24,4,6,0,92,1200,4.921266556524378,0,
25,6,4,0,92,1200,4.921266556524378,0,
26,5,6,0,15,1200,3.3682099526511076,0,
27,6,5,0,15,1200,3.3682099526511076,0,
28,0,9,0,47,1200,3.855158027999262,0,
29,9,0,0,47,1200,3.855158027999262,0,
30,3,4,0,55,1200,4.949692657420364,0,
31,4,3,0,55,1200,4.949692657420364,0,
32,3,20,0,3,1200,4.579821220208961,0,
33,20,3,0,3,1200,4.579821220208961,0,
34,9,20,0,7,1200,2.5115723710618747,0,
35,20,9,0,7,1200,2.5115723710618747,0,
36,1,6,0,39,1200,2.0397948834795994,0,
37,6,1,0,39,1200,2.0397948834795994,0,
38,1,13,0,89,1200,4.896896099223678,0,
39,13,1,0,89,1200,4.896896099223678,0,
40,8,9,0,9,1200,2.0478987566606426,0,
41,9,8,0,9,1200,2.0478987566606426,0,
42,8,19,0,2,1200,4.05269907953647,0,
43,19,8,0,2,1200,4.05269907953647,0,
44,10,21,0,60,1200,2.3661147045343363,0,
45,21,10,0,60,1200,2.3661147045343363,0,
46,4,10,0,8,1200,2.103165563345655,0,
47,10,4,0,8,1200,2.103165563345655,0,
48,15,21,0,78,1200,3.173181822719722,0,
49,21,15,0,78,1200,3.173181822719722,0,
50,0,15,0,50,1200,3.9875668530619457,0,
51,15,0,0,50,1200,3.9875668530619457,0,
52,17,21,0,2,1200,3.275467623473734,0,
53,21,17,0,2,1200,3.275467623473734,0,
54,5,17,0,54,1200,3.640130838029839,0,
55,17,5,0,54,1200,3.640130838029839,0,
56,2,6,0,54,1200,2.093939877366676,0,
57,6,2,0,54,1200,2.093939877366676,0,
58,0,2,0,18,1200,4.325398470083344,0,
59,2,0,0,18,1200,4.325398470083344,0,
60,2,12,0,34,1200,3.185450708005443,0,
61,12,2,0,34,1200,3.185450708005443,0,
62,0,19,0,14,1200,4.181815987569262,0,
63,19,0,0,14,1200,4.181815987569262,0,
64,4,12,0,15,1200,2.2654775061557584,0,
65,12,4,0,15,1200,2.2654775061557584,0,
66,11,12,0,87,1200,3.562502780077471,0,
67,12,11,0,87,1200,3.562502780077471,0,
68,7,12,0,62,1200,2.975990992289793,0,
69,12,7,0,62,1200,2.975990992289793,0,
70,5,12,0,80,1200,4.241960330412143,0,
71,12,5,0,80,1200,4.241960330412143,0,
