DemandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOptCost,SfcNum,SfcRequest
0,1,0,0,50.60568161334728,65.58908169136987,0,0,-1,0,3,0|1|4
1,18,8,0,36.052077903875215,47.427556816979106,0,0,-1,0,3,0|1|3
2,11,19,0,39.761163715293726,68.98509006001709,0,0,-1,0,3,2|0|3
3,11,5,0,57.0154271663972,83.71926918154627,0,0,-1,0,3,2|5|1
4,21,20,0,54.66267952052397,68.75538647326789,0,0,-1,0,3,0|4|1
5,1,7,0,61.19990964158043,39.4514963573273,0,0,-1,0,3,0|2|3
6,18,10,0,54.984703386451045,107.31514692753727,0,0,-1,0,3,1|3|4
7,13,18,0,55.66284612788899,119.70583557880771,0,0,-1,0,3,3|2|1
8,15,2,0,63.466630444891315,79.0190645873399,0,0,-1,0,3,0|5|1
9,13,19,0,67.92446953215335,75.54772711972409,0,0,-1,0,3,0|3|4
10,18,2,0,55.379637773038354,117.57829430450676,0,0,-1,0,3,0|3|5
11,4,21,0,65.86846901727407,39.1562291834065,0,0,-1,0,3,3|4|1
12,7,2,0,41.8226575002534,74.72841258513861,0,0,-1,0,3,2|0|1
13,2,16,0,54.83982394597106,33.56604881074824,0,0,-1,0,3,1|2|3
14,18,15,0,59.719189320198076,30.945090579806546,0,0,-1,0,3,1|3|4
15,13,11,0,52.944172333074455,105.02204232065635,0,0,-1,0,3,3|5|4
16,5,8,0,56.323276781519915,58.744381955880264,0,0,-1,0,3,3|1|0
17,17,3,0,57.79745305133375,116.58958830132264,0,0,-1,0,3,0|4|5
18,12,1,0,54.33953238842535,118.38397281576985,0,0,-1,0,3,1|3|0
19,1,18,0,67.59535301789946,16.256753770155296,0,0,-1,0,3,3|4|1
20,5,2,0,54.642198419704556,54.41531064501052,0,0,-1,0,3,4|0|1
21,6,21,0,48.646244213866936,39.21759637844892,0,0,-1,0,3,5|2|1
22,19,18,0,51.02866427966579,65.64731634536419,0,0,-1,0,3,0|5|1
23,11,2,0,49.95633707030765,27.352151559295518,0,0,-1,0,3,1|2|4
24,9,19,0,48.70435203553775,83.46495240838419,0,0,-1,0,3,5|4|0
25,21,3,0,46.17989873372763,107.86839777062801,0,0,-1,0,3,1|2|0
26,1,2,0,49.669956191933636,14.849543797895503,0,0,-1,0,3,5|3|2
27,13,17,0,56.27119693508578,113.9556032951303,0,0,-1,0,3,0|5|4
28,4,17,0,53.108481072407955,57.27653841688489,0,0,-1,0,3,0|2|1
29,11,1,0,54.437348140579495,83.36267516990974,0,0,-1,0,3,2|1|4
30,5,13,0,57.171424250753745,96.06251457623948,0,0,-1,0,3,0|1|2
31,1,15,0,62.81911614394398,48.46242668905105,0,0,-1,0,3,1|5|3
32,17,10,0,68.77517901728112,29.642459778971002,0,0,-1,0,3,0|5|2
33,10,13,0,48.89131062917007,52.37149766791999,0,0,-1,0,3,4|5|0
34,8,1,0,70.09741925664272,67.1912383423244,0,0,-1,0,3,5|3|0
35,21,6,0,46.20786757123932,114.37619345684458,0,0,-1,0,3,2|3|0
36,9,12,0,53.417875022153495,41.560508855581986,0,0,-1,0,3,4|0|2
37,21,6,0,60.10910232704047,82.4735819498264,0,0,-1,0,3,4|3|1
38,21,20,0,35.86691917681294,100.02658109903307,0,0,-1,0,3,4|2|0
39,21,9,0,41.53615359717378,12.686792649950897,0,0,-1,0,3,1|5|4
40,17,14,0,61.54914193560782,38.511070331152126,0,0,-1,0,3,1|3|4
41,2,9,0,57.082128273066296,45.16805252606385,0,0,-1,0,3,1|2|4
42,13,12,0,60.04872060505968,62.46777058130926,0,0,-1,0,3,4|0|3
43,21,12,0,61.71261237707158,111.14957827358735,0,0,-1,0,3,5|1|3
44,13,4,0,57.89166451252758,38.617194531123516,0,0,-1,0,3,3|1|0
45,13,8,0,71.00868197227943,92.39266871911357,0,0,-1,0,3,0|3|5
46,15,21,0,57.6429556066254,61.15373817787428,0,0,-1,0,3,0|4|1
47,11,5,0,49.35894459635341,95.55710747929758,0,0,-1,0,3,4|5|0
48,9,21,0,65.098194694173,48.19241418392939,0,0,-1,0,3,4|0|5
49,7,2,0,52.56435480587084,92.55239100097069,0,0,-1,0,3,2|3|1
50,21,12,0,46.82505215772471,103.60481199437051,0,0,-1,0,3,2|0|3
51,6,11,0,33.745112771763715,106.8351977734048,0,0,-1,0,3,2|5|4
52,8,17,0,59.22763096522785,19.417425815382337,0,0,-1,0,3,0|4|1
53,15,17,0,66.52057154231034,59.29920045452278,0,0,-1,0,3,1|3|4
54,17,5,0,76.21842023006944,40.414958966555815,0,0,-1,0,3,1|5|3
55,16,19,0,52.25480514258266,42.58711095916589,0,0,-1,0,3,2|0|1
56,1,17,0,63.99093833118356,21.284641146653673,0,0,-1,0,3,2|1|3
57,1,8,0,67.08041674076232,54.07781864771337,0,0,-1,0,3,3|0|4
58,20,21,0,33.93421718908504,99.22562839025522,0,0,-1,0,3,0|1|4
59,9,18,0,41.6832674499539,77.05940034696434,0,0,-1,0,3,3|2|0
60,5,17,0,57.20263746771705,54.936932992602934,0,0,-1,0,3,0|1|5
61,21,18,0,55.505492739425634,73.38716830630216,0,0,-1,0,3,4|0|2
62,18,13,0,62.098494619333295,61.701143445638685,0,0,-1,0,3,5|3|0
63,0,21,0,66.04041555731573,15.962449391440146,0,0,-1,0,3,4|3|5
64,17,13,0,57.17906126684867,60.75926835966617,0,0,-1,0,3,0|1|5
65,9,18,0,62.34785387790799,59.12021323475139,0,0,-1,0,3,4|3|1
66,13,1,0,61.90739796327159,52.46866277400806,0,0,-1,0,3,2|3|4
67,18,10,0,53.6947103785078,67.85461954883175,0,0,-1,0,3,0|3|5
68,4,13,0,45.568288267150166,61.64396610832051,0,0,-1,0,3,5|1|0
69,10,19,0,52.142423323461884,103.69418215857606,0,0,-1,0,3,5|3|0
70,11,13,0,70.56356503615322,72.25208681075304,0,0,-1,0,3,1|5|3
71,5,2,0,63.029035262208595,64.74339776047461,0,0,-1,0,3,4|3|1
72,11,18,0,55.609789385490984,60.25193939345652,0,0,-1,0,3,2|3|5
73,15,9,0,45.25589191488814,34.0904992820916,0,0,-1,0,3,1|4|2
74,8,21,0,60.78507256051896,109.37440744802646,0,0,-1,0,3,5|1|0
75,17,11,0,41.97076932896558,101.35198815241371,0,0,-1,0,3,4|5|2
76,2,4,0,45.689436068109416,19.933316312544164,0,0,-1,0,3,1|3|2
77,21,8,0,51.10675188914993,21.918071241915378,0,0,-1,0,3,4|3|2
78,1,9,0,66.95640991697532,35.8280035674462,0,0,-1,0,3,3|0|4
79,12,14,0,61.215704875034284,74.60743801034683,0,0,-1,0,3,2|4|3
80,13,20,0,68.23349911165371,113.29583722850208,0,0,-1,0,3,0|3|4
81,11,6,0,68.28657425975528,104.099521263655,0,0,-1,0,3,3|5|1
82,21,11,0,54.90524370331965,53.79536070188104,0,0,-1,0,3,4|2|0
