DemandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOptCost,SfcNum,SfcRequest
0,31,96,0,79.74470187914648,101.23451306782944,0,0,-1,0,3,0|4|2
1,74,20,0,78.17573279613885,40.57709634211013,0,0,-1,0,3,1|0|3
2,8,80,0,115.11992171632899,33.20811279449591,0,0,-1,0,3,3|2|0
3,137,67,0,87.31281196550695,108.76051719627247,0,0,-1,0,3,5|4|3
4,98,97,0,77.61347447536336,116.81862153749799,0,0,-1,0,3,4|3|2
5,41,138,0,98.68855158411074,63.74662788318427,0,0,-1,0,3,4|0|2
6,136,32,0,91.76888067561528,39.1562291834065,0,0,-1,0,3,1|3|5
7,95,112,0,108.5183104389088,37.269617503260875,0,0,-1,0,3,4|3|0
8,5,141,0,102.03838104348304,10.79099228836029,0,0,-1,0,3,1|4|5
9,60,71,0,101.65867382995398,69.31573245342301,0,0,-1,0,3,5|3|1
10,48,24,0,82.15705684123613,56.59364853219129,0,0,-1,0,3,0|3|2
11,27,63,0,92.99418032041147,25.420052680425194,0,0,-1,0,3,1|5|3
12,99,67,0,35.259528216270574,86.62506539601787,0,0,-1,0,3,3|2|5
13,60,103,0,76.62517247066712,73.68109632579316,0,0,-1,0,3,0|4|1
14,20,107,0,69.4126030329259,112.81768835100699,0,0,-1,0,3,5|4|2
15,80,61,0,79.8391497383004,83.88592452559683,0,0,-1,0,3,2|3|1
16,80,18,0,86.40360405527055,18.05867932095963,0,0,-1,0,3,0|3|5
17,67,33,0,102.89317560258661,50.647979761277234,0,0,-1,0,3,2|0|1
18,85,33,0,65.73001163922225,91.53539991827239,0,0,-1,0,3,5|2|1
19,10,78,0,107.37870150387256,33.10841921737294,0,0,-1,0,3,2|0|5
20,27,97,0,90.25041747657983,31.953011302832707,0,0,-1,0,3,0|3|1
21,130,102,0,85.27837136023334,113.31608543571873,0,0,-1,0,3,5|4|2
22,66,45,0,106.77951462735513,21.924280193618223,0,0,-1,0,3,4|2|0
23,147,48,0,114.91460151608433,10.186040604049241,0,0,-1,0,3,2|0|3
24,97,44,0,60.028595153393496,54.668268563397916,0,0,-1,0,3,4|5|2
25,77,73,0,83.64582464723685,61.14870092717156,0,0,-1,0,3,1|3|2
26,85,23,0,62.63921702872119,98.72191840338924,0,0,-1,0,3,1|2|5
27,11,62,0,75.1694100168715,60.095778521809805,0,0,-1,0,3,3|4|0
28,37,1,0,96.51722506427419,29.347534987718483,0,0,-1,0,3,0|3|1
29,76,99,0,101.13629829471054,63.705242530527556,0,0,-1,0,3,3|4|1
30,144,6,0,85.33467599287772,105.35364911546431,0,0,-1,0,3,0|3|1
31,66,97,0,47.56055661617018,45.95303853694394,0,0,-1,0,3,2|1|3
32,97,71,0,83.66419520418543,61.73375198343516,0,0,-1,0,3,3|2|0
33,63,51,0,110.75760348073692,36.239943607779644,0,0,-1,0,3,0|4|1
34,79,147,0,84.20373246859013,113.56176583954407,0,0,-1,0,3,5|3|4
35,62,26,0,58.141621652382995,97.58499382602332,0,0,-1,0,3,5|2|0
36,10,88,0,91.29990353297234,17.585241017160456,0,0,-1,0,3,4|3|2
37,3,107,0,69.0977627638207,115.68663239360365,0,0,-1,0,3,3|0|5
38,62,22,0,65.53789229748647,92.55239100097069,0,0,-1,0,3,2|3|1
39,104,125,0,77.893285721114,81.04931897150475,0,0,-1,0,3,4|1|3
40,4,23,0,110.63853743862376,86.0965870824722,0,0,-1,0,3,2|1|3
41,148,94,0,80.07298170678456,56.80541939757362,0,0,-1,0,3,3|4|2
42,84,90,0,78.47796836517591,43.72852904837135,0,0,-1,0,3,5|3|2
43,49,80,0,92.49273533447482,31.069507031159922,0,0,-1,0,3,0|4|1
44,70,134,0,66.42807322584763,101.58911996597747,0,0,-1,0,3,4|2|0
45,92,45,0,95.39224039010904,40.1742459461594,0,0,-1,0,3,2|0|1
46,3,146,0,88.76705351014303,58.45156779496113,0,0,-1,0,3,2|3|4
47,18,147,0,116.17753341376842,26.411734292102068,0,0,-1,0,3,5|0|1
48,77,21,0,101.9403955281093,76.6949416367259,0,0,-1,0,3,1|0|3
49,57,133,0,54.639152453868704,42.70884457691261,0,0,-1,0,3,3|5|4
50,109,78,0,91.29455116155107,77.05940034696434,0,0,-1,0,3,4|5|0
51,50,108,0,89.5517685301431,81.23981957427289,0,0,-1,0,3,0|4|1
52,44,120,0,74.397310024579,29.963806194543853,0,0,-1,0,3,4|3|2
53,125,23,0,79.47436963121946,46.663923303160125,0,0,-1,0,3,3|2|5
54,82,29,0,72.14054822778458,82.34264251314418,0,0,-1,0,3,3|4|0
55,23,57,0,65.90491332857137,81.24806576621346,0,0,-1,0,3,0|3|5
56,74,130,0,71.44985817273772,101.81963401343639,0,0,-1,0,3,5|2|3
