DemandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOptCost,SfcNum,SfcRequest
0,31,96,0,96.48579149429273,101.23451306782944,0,0,-1,0,3,0|4|2
1,92,49,0,91.48232771360601,82.73896504244811,0,0,-1,0,3,5|0|4
2,20,59,0,25.9329337982636,59.8751332605279,0,0,-1,0,3,0|3|2
3,41,94,0,75.98403248855656,87.20023448044064,0,0,-1,0,3,2|1|5
4,8,80,0,84.30606294992967,33.20811279449591,0,0,-1,0,3,3|2|0
5,80,54,0,71.24776676023623,107.31514692753727,0,0,-1,0,3,5|3|4
6,36,67,0,86.58667826679232,92.17151928174837,0,0,-1,0,3,1|5|2
7,102,92,0,76.22261153726659,20.00003533911733,0,0,-1,0,3,1|5|3
8,2,29,0,113.43184157410933,94.54586059231906,0,0,-1,0,3,5|4|2
9,75,111,0,121.96690001337107,114.91975202731881,0,0,-1,0,3,1|3|0
10,67,128,0,93.70634212399634,105.75704268204436,0,0,-1,0,3,1|4|0
11,20,21,0,54.86694867848569,117.57829430450676,0,0,-1,0,3,5|3|0
12,95,112,0,76.65990083301166,37.269617503260875,0,0,-1,0,3,4|3|0
13,5,141,0,75.40011143952658,10.79099228836029,0,0,-1,0,3,1|4|5
14,60,71,0,63.4720858550838,69.31573245342301,0,0,-1,0,3,5|3|1
15,110,90,0,115.22002994251464,105.02204232065635,0,0,-1,0,3,3|5|4
16,48,137,0,53.388080140337124,30.18368393659566,0,0,-1,0,3,3|1|5
17,19,113,0,93.0752553379713,81.73593833983743,0,0,-1,0,3,4|0|5
18,3,23,0,87.3921035508117,63.42052379957903,0,0,-1,0,3,1|5|3
19,14,12,0,72.2779302096496,16.256753770155296,0,0,-1,0,3,4|3|1
20,47,17,0,98.592336162569,54.41531064501052,0,0,-1,0,3,4|0|1
21,63,10,0,78.13629430904797,82.31104809197747,0,0,-1,0,3,4|0|3
22,80,66,0,94.61301308856427,39.21759637844892,0,0,-1,0,3,1|2|5
23,76,117,0,80.47707528331166,60.411407488044475,0,0,-1,0,3,2|0|4
24,25,18,0,70.46076916170479,24.5702227403114,0,0,-1,0,3,4|1|2
25,141,76,0,116.8652228571044,39.09125136358404,0,0,-1,0,3,5|0|1
26,141,39,0,105.7682351668409,88.93734058526778,0,0,-1,0,3,2|5|1
27,67,129,0,91.30420691048496,20.152831448400676,0,0,-1,0,3,3|2|0
28,70,11,0,103.68995477173338,80.08247150315177,0,0,-1,0,3,0|2|1
29,113,141,0,141.13440145807837,22.30612686482685,0,0,-1,0,3,5|3|0
30,10,78,0,81.78135705726035,33.10841921737294,0,0,-1,0,3,2|0|5
31,26,90,0,92.25770961810211,111.83402048265123,0,0,-1,0,3,4|3|1
32,41,45,0,80.43957284120685,91.02209189305903,0,0,-1,0,3,3|0|1
33,105,63,0,90.84733396400634,52.07958948566277,0,0,-1,0,3,2|1|0
34,120,56,0,73.86169611232273,43.57099540724606,0,0,-1,0,3,1|3|2
35,58,57,0,62.70897849102973,46.10881463174772,0,0,-1,0,3,0|1|3
36,137,84,0,172.58728352484923,29.642459778971002,0,0,-1,0,3,0|5|2
37,48,65,0,79.51863368243764,67.1912383423244,0,0,-1,0,3,0|3|5
38,75,141,0,97.4879201595398,83.14223776340486,0,0,-1,0,3,1|5|3
39,44,77,0,75.39962775202343,43.426244419518916,0,0,-1,0,3,3|4|0
40,82,119,0,74.39730459347048,66.22913965620458,0,0,-1,0,3,3|5|1
41,60,79,0,74.00653353058273,12.686792649950897,0,0,-1,0,3,1|5|4
42,121,18,0,70.12114133753603,89.01805070488875,0,0,-1,0,3,3|5|1
43,56,45,0,73.87053987875646,15.5240223654705,0,0,-1,0,3,5|4|3
44,133,124,0,117.68210974807003,58.3859852591393,0,0,-1,0,3,5|1|2
45,104,84,0,60.27533274855541,16.849228164194386,0,0,-1,0,3,4|3|5
46,99,5,0,65.55765054531902,10.648569194239238,0,0,-1,0,3,4|3|5
47,99,107,0,91.72576795208353,63.705242530527556,0,0,-1,0,3,4|5|1
48,124,7,0,82.40685729151538,89.65995153900177,0,0,-1,0,3,3|2|5
49,61,32,0,70.837023746189,61.15373817787428,0,0,-1,0,3,3|0|1
50,94,42,0,119.35178298110631,95.55710747929758,0,0,-1,0,3,4|5|0
51,79,27,0,63.61444337206668,73.33764012536555,0,0,-1,0,3,4|0|2
52,62,26,0,71.6483023006967,97.58499382602332,0,0,-1,0,3,5|2|0
53,10,88,0,92.61647938073445,17.585241017160456,0,0,-1,0,3,4|3|2
54,3,107,0,105.90180286818776,115.68663239360365,0,0,-1,0,3,3|0|5
55,137,123,0,77.20105325872365,45.453504127923004,0,0,-1,0,3,3|5|2
56,22,71,0,108.81724122648664,72.68346091461544,0,0,-1,0,3,3|1|5
57,86,7,0,62.73370776385261,63.63049256304788,0,0,-1,0,3,3|2|1
58,140,84,0,92.24457480233269,43.72852904837135,0,0,-1,0,3,2|3|5
59,49,80,0,113.985764452046,31.069507031159922,0,0,-1,0,3,0|4|1
