NodeID,Capacity,Delay,Cost,Function
0,8000,0.22337561374563442,3,
1,8000,0.08028003856653934,16,
2,8000,0.07885008267195731,4,
3,8000,0.29223190111411057,18,0|3|5
4,8000,0.2272217515658878,17,3
5,8000,0.055472216775808325,7,
6,8000,0.1466993298684226,5,
7,8000,0.15554778808308922,12,
8,8000,0.23473087396477443,17,
9,8000,0.1089694344733986,13,
10,8000,0.09200508695449935,3,
11,8000,0.06562260648738541,9,2|3
12,8000,0.15422019110972748,17,
13,8000,0.2205674746951684,17,1
14,8000,0.05983936685465312,16,0
15,8000,0.2783795005447525,13,
16,8000,0.15779981858143163,19,
17,8000,0.10614577658513782,17,1
18,8000,0.0689376889707294,4,
19,8000,0.09163082926236338,12,
20,8000,0.283326569321626,9,
21,8000,0.20775900143005432,19,
22,8000,0.1767575456437745,12,
23,8000,0.21256338876754255,9,
24,8000,0.15609658916286223,7,
25,8000,0.23116002572326372,14,5
26,8000,0.05716761256137044,19,
27,8000,0.18933948867598943,15,4
28,8000,0.08545484414883521,16,1
29,8000,0.07564198519043876,5,4
30,8000,0.1321793150126824,3,
31,8000,0.06840876178242768,12,1
32,8000,0.06901003200848282,4,
33,8000,0.12441039389478002,16,
34,8000,0.2947751847984847,7,
35,8000,0.08970921882178132,13,0
36,8000,0.04937608096709631,10,
37,8000,0.23965792786599727,7,
38,8000,0.25076280914794874,14,
39,8000,0.13330760187779722,5,
40,8000,0.1634918222996009,3,
41,8000,0.21069228907390464,11,
42,8000,0.0572550256702436,11,
43,8000,0.2870321615558034,18,
44,8000,0.27110349876100215,15,
45,8000,0.11152787395213706,12,
46,8000,0.04890265777404811,9,
47,8000,0.28302625856026814,10,
48,8000,0.17276517039839112,12,
49,8000,0.18254124934201593,17,
50,8000,0.21941076119652597,6,
51,8000,0.202042046919428,7,
52,8000,0.28569235916299307,14,
53,8000,0.2857841572669177,13,
54,8000,0.26613572805652597,8,3
55,8000,0.2072829173487329,10,
56,8000,0.24924207014401195,9,
57,8000,0.21767792730766033,18,
58,8000,0.19120859562634301,2,
59,8000,0.07776759007464709,5,
60,8000,0.25185706506768074,5,
61,8000,0.25426306631470863,6,
62,8000,0.20461461587590107,19,
63,8000,0.25420884516167336,8,
64,8000,0.21112861682373596,16,4
65,8000,0.09770451176857006,13,
66,8000,0.11486008746688911,1,
67,8000,0.0997202255256354,17,
68,8000,0.14120106622313383,7,
69,8000,0.054935598739109574,13,2
70,8000,0.20265474050616267,4,
71,8000,0.13082132479662525,4,5
72,8000,0.21220927202208928,6,
73,8000,0.14327613834621908,19,
74,8000,0.2188114855880614,12,
75,8000,0.1318592652133812,7,2
76,8000,0.11147710470015529,10,
77,8000,0.1714895508448186,19,4
78,8000,0.22168704146644452,7,
79,8000,0.1338258341355653,3,
80,8000,0.28384527872320536,13,
81,8000,0.0549925133022898,13,0
82,8000,0.1515762380874726,18,
83,8000,0.2917330406376631,8,5
84,8000,0.18473283022826226,9,
85,8000,0.1529850902885702,7,
86,8000,0.18997267235623938,1,2
87,8000,0.1918607666908116,3,
